,date,language,work,work_url
15454,1961-06-12,in italienischer Sprache,Tosca,https://archiv.wiener-staatsoper.at/performances/4207
15455,1961-06-12,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6049
15456,1961-06-13,in deutscher Sprache,Götterdämmerung,https://archiv.wiener-staatsoper.at/performances/11999
15457,1961-06-14,in deutscher Sprache,Die Fledermaus,https://archiv.wiener-staatsoper.at/performances/8151
15458,1961-06-15,in italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6053
15459,1961-06-16,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7810
15460,1961-06-16,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9795
15461,1961-06-16,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13500
15462,1961-06-17,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/898
15463,1961-06-17,in italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6055
15464,1961-06-18,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/370
15465,1961-06-19,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2371
15466,1961-06-19,in deutscher Sprache,Capriccio,https://archiv.wiener-staatsoper.at/performances/8461
15467,1961-06-20,in deutscher Sprache,Elektra,https://archiv.wiener-staatsoper.at/performances/8996
15468,1961-06-21,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/899
15469,1961-06-21,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5812
15470,1961-06-22,in italienischer Sprache,Turandot,https://archiv.wiener-staatsoper.at/performances/2828
15471,1961-06-23,in deutscher Sprache,Der Rosenkavalier,https://archiv.wiener-staatsoper.at/performances/2617
15472,1961-06-24,in italienischer Sprache,Turandot,https://archiv.wiener-staatsoper.at/performances/2979
15473,1961-06-25,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/900
15474,1961-06-25,in deutscher Sprache,Der fliegende Holländer,https://archiv.wiener-staatsoper.at/performances/3661
15475,1961-06-26,in italienischer Sprache,Turandot,https://archiv.wiener-staatsoper.at/performances/2980
15476,1961-06-27,in deutscher und italienischer Sprache,Don Carlo (Ital.),https://archiv.wiener-staatsoper.at/performances/10163
15477,1961-06-28,in deutscher Sprache,Carmen,https://archiv.wiener-staatsoper.at/performances/12077
15478,1961-06-29,in italienischer Sprache,Otello,https://archiv.wiener-staatsoper.at/performances/1878
15479,1961-06-30,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6102
15480,1961-09-01,in deutscher Sprache,Die Meistersinger von Nürnberg,https://archiv.wiener-staatsoper.at/performances/1293
15481,1961-09-02,in deutscher Sprache,Don Giovanni,https://archiv.wiener-staatsoper.at/performances/1142
15482,1961-09-03,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/371
15483,1961-09-04,in deutscher Sprache,Das Rheingold,https://archiv.wiener-staatsoper.at/performances/11112
15484,1961-09-05,in italienischer Sprache,La forza del destino,https://archiv.wiener-staatsoper.at/performances/8828
15485,1961-09-06,in deutscher Sprache,Die Walküre,https://archiv.wiener-staatsoper.at/performances/10718
15486,1961-09-07,in deutscher Sprache,Der Rosenkavalier,https://archiv.wiener-staatsoper.at/performances/2620
