,work,composer,librettist,theatre,date
5099,Norma,Vincenzo Bellini,Felice Romani,"Festival Theatre, Edinburgh",1997-11-08
5100,Norma,Vincenzo Bellini,Felice Romani,"Alhambra Theatre, Bradford",1997-11-11
5101,Norma,Vincenzo Bellini,Felice Romani,"Alhambra Theatre, Bradford",1997-11-15
5102,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare",Whitehall Theatre,1997-11-12
5103,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare",Whitehall Theatre,1997-11-13
5104,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare",Whitehall Theatre,1997-11-14
5105,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare",Whitehall Theatre,1997-11-15
5106,Duke Bluebeard's Castle,Béla Bartók,Béla Balázs,"Royal Concert Hall, Glasgow",1997-11-22
5107,Duke Bluebeard's Castle,Béla Bartók,Béla Balázs,"Festival Theatre, Edinburgh",1997-11-23
5108,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1997-12-12
5109,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1997-12-16
5110,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1997-12-18
5111,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1997-12-20
5112,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1997-12-23
5113,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1997-12-27
5114,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1997-12-30
5115,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1997-01-03
5116,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1997-01-06
5117,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1997-01-08
5118,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1997-01-10
5119,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1998-02-05
5120,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1998-02-07
5121,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1998-02-11
5122,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1998-02-14
5123,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1998-02-17
5124,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1998-02-19
5125,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1998-02-24
5126,Snatched by the Gods,,,"Theatre Royal, Glasgow",1998-02-18
5127,Snatched by the Gods,,,"Theatre Royal, Glasgow",1998-02-21
