,work,composer,librettist,theatre,date
1936,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"Theatre Royal, Newcastle",1974-10-04
1937,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"His Majesty's Theatre, Aberdeen",1974-10-08
1938,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"His Majesty's Theatre, Aberdeen",1974-10-11
1939,Rosenkavalier,Richard Strauss,Hugo von Hofmannsthal,"Theatre Royal, Newcastle",1974-09-28
1940,Rosenkavalier,Richard Strauss,Hugo von Hofmannsthal,"Theatre Royal, Newcastle",1974-09-30
1941,Rosenkavalier,Richard Strauss,Hugo von Hofmannsthal,"His Majesty's Theatre, Aberdeen",1974-10-07
1942,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"Theatre Royal, Newcastle",1974-10-01
1943,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"Theatre Royal, Newcastle",1974-10-05
1944,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"His Majesty's Theatre, Aberdeen",1974-10-09
1945,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"His Majesty's Theatre, Aberdeen",1974-10-12
1946,Barber of Seville,Gioachino Rossini,Cesare Sterbini,MacRobert Arts Centre ,1974-10-17
1947,Barber of Seville,Gioachino Rossini,Cesare Sterbini,MacRobert Arts Centre ,1974-10-18
1948,Barber of Seville,Gioachino Rossini,Cesare Sterbini,MacRobert Arts Centre ,1974-10-19
1949,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Gaiety Theatre, Ayr",1974-10-22
1950,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Gaiety Theatre, Ayr",1974-10-23
1951,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Gaiety Theatre, Ayr",1974-10-24
1952,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Gaiety Theatre, Ayr",1974-10-25
1953,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Gaiety Theatre, Ayr",1974-10-26
1954,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Edinburgh",1974-12-06
1955,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Edinburgh",1974-12-11
1956,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Edinburgh",1974-12-14
1957,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1974-12-07
1958,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1974-12-09
1959,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1974-12-13
1960,Rosenkavalier,Richard Strauss,Hugo von Hofmannsthal,"King's Theatre, Edinburgh",1974-12-10
1961,Rosenkavalier,Richard Strauss,Hugo von Hofmannsthal,"King's Theatre, Edinburgh",1974-12-12
1962,Turn of the Screw,Benjamin Britten,Myfanwy Piper,MacRobert Arts Centre ,1974-01-03
1963,Turn of the Screw,Benjamin Britten,Myfanwy Piper,MacRobert Arts Centre ,1974-01-04
1964,Turn of the Screw,Benjamin Britten,Myfanwy Piper,Erholungshaus,1974-01-16
1965,Turn of the Screw,Benjamin Britten,Myfanwy Piper,Stadttheater Fürth,1974-01-21
1966,Turn of the Screw,Benjamin Britten,Myfanwy Piper,Stadttheater Fürth,1974-01-24
1967,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Teatro São Carlos,1974-01-10
1968,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Teatro São Carlos,1974-01-12
1969,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Teatro São Carlos,1974-01-13
1970,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Staatstheater,1974-01-18
1971,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Stadttheater Fürth,1974-01-20
1972,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Stadttheater Fürth,1974-01-22
1973,Elegy for Young Lovers,Hans Werner Henze,"W H Auden
				Chester Kallman",Stadttheater Fürth,1974-01-23
1974,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Adam Smith Theatre,1975-01-31
1975,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Adam Smith Theatre,1975-02-01
1976,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Tait Hall,1975-02-03
1977,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Town Hall, Elgin",1975-02-05
1978,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Town Hall, Elgin",1975-02-06
1979,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Corran Hall,1975-02-08
1980,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Arts Guild Theatre,1975-02-10
1981,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Whitehall Theatre,1975-02-12
1982,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Whitehall Theatre,1975-02-13
1983,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Whitehall Theatre,1975-02-13
1984,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Younger Hall,1975-02-15
1985,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Civic Hall, Barrow-in-Furness",1975-02-24
1986,Enfant et les sortilèges,Maurice Ravel,Sidonie Gabrielle Colette,"Music Hall, Aberdeen",1975-02-18
1987,Enfant et les sortilèges,Maurice Ravel,Sidonie Gabrielle Colette,Caird Hall,1975-02-19
1988,Enfant et les sortilèges,Maurice Ravel,Sidonie Gabrielle Colette,Usher Hall,1975-02-21
1989,Enfant et les sortilèges,Maurice Ravel,Sidonie Gabrielle Colette,"City Halls, Glasgow",1975-02-22
1990,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Civic Theatre, Darlington",1975-02-26
1991,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Civic Theatre, Darlington",1975-02-27
1992,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Civic Theatre, Darlington",1975-02-28
1993,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Civic Theatre, Darlington",1975-03-01
1994,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Crucible Theatre,1975-03-04
1995,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Crucible Theatre,1975-03-05
1996,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Crucible Theatre,1975-03-06
1997,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Crucible Theatre,1975-03-07
1998,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Crucible Theatre,1975-03-08
1999,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, York",1975-04-03
2000,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, York",1975-04-05
2001,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Perth Theatre,1975-04-10
2002,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Perth Theatre,1975-04-11
2003,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Perth Theatre,1975-04-12
2004,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Glasgow",1975-04-25
2005,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Glasgow",1975-04-29
2006,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Glasgow",1975-05-01
2007,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"His Majesty's Theatre, Aberdeen",1975-05-15
2008,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"His Majesty's Theatre, Aberdeen",1975-05-17
2009,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Edinburgh",1975-05-20
2010,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Edinburgh",1975-05-23
2011,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Glasgow",1975-04-26
2012,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Glasgow",1975-05-02
2013,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Glasgow",1975-05-07
2014,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"His Majesty's Theatre, Aberdeen",1975-05-13
2015,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Edinburgh",1975-05-22
2016,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Edinburgh",1975-05-24
2017,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1975-04-30
2018,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1975-05-03
2019,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1975-05-09
2020,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1975-05-14
2021,Pelléas et Mélisande,Claude Debussy,Maurice Maeterlinck,"King's Theatre, Glasgow",1975-05-08
2022,Pelléas et Mélisande,Claude Debussy,Maurice Maeterlinck,"King's Theatre, Glasgow",1975-05-10
2023,Pelléas et Mélisande,Claude Debussy,Maurice Maeterlinck,"His Majesty's Theatre, Aberdeen",1975-05-16
2024,Pelléas et Mélisande,Claude Debussy,Maurice Maeterlinck,"King's Theatre, Edinburgh",1975-05-21
2025,Ballo in maschera,Giuseppe Verdi,Antonio Somma,Whitehall Theatre,1975-05-14
2026,Ballo in maschera,Giuseppe Verdi,Antonio Somma,Whitehall Theatre,1975-05-15
2027,Ballo in maschera,Giuseppe Verdi,Antonio Somma,Whitehall Theatre,1975-05-16
2028,Ballo in maschera,Giuseppe Verdi,Antonio Somma,Whitehall Theatre,1975-05-17
2029,Pelléas et Mélisande,Claude Debussy,Maurice Maeterlinck,"King's Theatre, Edinburgh",1975-05-27
2030,Pelléas et Mélisande,Claude Debussy,Maurice Maeterlinck,"Theatre Royal, Newcastle",1975-06-06
2031,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1975-05-28
2032,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1975-05-31
2033,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Newcastle",1975-06-03
2034,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"King's Theatre, Edinburgh",1975-05-29
2035,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,"Theatre Royal, Newcastle",1975-06-04
2036,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Edinburgh",1975-05-30
2037,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"Theatre Royal, Newcastle",1975-06-05
2038,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"Theatre Royal, Newcastle",1975-06-07
2039,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1975-06-14
2040,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1975-06-17
2041,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1975-06-19
2042,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1975-06-21
2043,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1975-06-18
2044,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1975-06-20
2045,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1975-06-25
2046,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1975-06-27
2047,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1975-06-26
2048,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1975-06-28
2049,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1975-08-25
2050,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1975-08-28
2051,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1975-08-30
2052,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1975-09-07
2053,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1975-09-10
2054,Hermiston,Robin Orr,Bill Bryden,"King's Theatre, Edinburgh",1975-08-27
2055,Hermiston,Robin Orr,Bill Bryden,"King's Theatre, Edinburgh",1975-08-29
2056,Hermiston,Robin Orr,Bill Bryden,"Maltings, Snape",1975-09-05
2057,Hermiston,Robin Orr,Bill Bryden,"Theatre Royal, Newcastle",1975-09-10
2058,Hermiston,Robin Orr,Bill Bryden,"His Majesty's Theatre, Aberdeen",1975-09-17
2059,Hermiston,Robin Orr,Bill Bryden,"Grand Theatre, Leeds",1975-09-24
2060,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Maltings, Snape",1975-09-04
2061,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Maltings, Snape",1975-09-06
2062,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Newcastle",1975-09-11
2063,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Newcastle",1975-09-13
2064,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1975-09-18
2065,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1975-09-20
2066,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Newcastle",1975-09-09
2067,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Newcastle",1975-09-12
2068,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","His Majesty's Theatre, Aberdeen",1975-09-16
2069,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","His Majesty's Theatre, Aberdeen",1975-09-19
2070,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Grand Theatre, Leeds",1975-09-23
2071,Lulu,Alban Berg,Alban Berg,"King's Theatre, Edinburgh",1975-09-09
2072,Lulu,Alban Berg,Alban Berg,"King's Theatre, Edinburgh",1975-09-12
2073,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1975-09-11
2074,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Grand Theatre, Leeds",1975-09-25
2075,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Grand Theatre, Leeds",1975-09-27
2076,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Grand Theatre, Leeds",1975-09-26
2077,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Glasgow",1975-10-14
2078,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1975-10-13
2079,Otello,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1975-10-15
2080,Otello,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1975-10-18
2081,Otello,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1975-10-21
2082,Otello,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1975-10-23
2083,Hermiston,Robin Orr,Bill Bryden,"Theatre Royal, Glasgow",1975-10-29
2084,Hermiston,Robin Orr,Bill Bryden,"Theatre Royal, Glasgow",1975-11-01
2085,Hermiston,Robin Orr,Bill Bryden,"Theatre Royal, Glasgow",1975-11-04
2086,Hermiston,Robin Orr,Bill Bryden,"Theatre Royal, Glasgow",1975-11-06
2087,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1975-11-12
2088,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1975-11-15
2089,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1975-11-18
2090,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Theatre Royal, Glasgow",1975-11-20
2091,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1975-11-26
2092,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1975-11-29
2093,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1975-12-02
2094,Così fan tutte,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1975-12-04
2095,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Glasgow",1975-12-10
2096,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Glasgow",1975-12-13
2097,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Glasgow",1975-12-16
2098,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Glasgow",1975-12-18
2099,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Glasgow",1975-12-20
2100,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Glasgow",1975-12-24
2101,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Glasgow",1975-12-27
2102,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Glasgow",1975-12-30
2103,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Glasgow",1975-01-01
2104,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Theatre Royal, Glasgow",1975-01-03
2105,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","Theatre Royal, Glasgow",1975-01-07
2106,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","Theatre Royal, Glasgow",1975-01-10
2107,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","Theatre Royal, Glasgow",1975-01-13
2108,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","Theatre Royal, Glasgow",1975-01-15
2109,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","Theatre Royal, Glasgow",1975-01-17
2110,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1975-01-21
2111,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1975-01-24
2112,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1976-01-27
2113,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1976-01-29
2114,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1976-02-04
2115,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1976-02-07
2116,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1976-02-10
2117,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1976-02-12
2118,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni",Whitehall Theatre,1976-02-04
2119,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni",Whitehall Theatre,1976-02-05
2120,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni",Whitehall Theatre,1976-02-06
2121,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni",Whitehall Theatre,1976-02-07
2122,Falstaff,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1976-02-18
2123,Falstaff,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1976-02-21
2124,Falstaff,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1976-02-24
2125,Falstaff,Giuseppe Verdi,Arrigo Boito,"Theatre Royal, Glasgow",1976-02-26
2126,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Tait Hall,1976-03-01
2127,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Town Hall, Elgin",1976-03-03
2128,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Town Hall, Elgin",1976-03-04
2129,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Corran Hall,1976-03-06
2130,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Civic Hall, Barrow-in-Furness",1976-03-08
2131,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Civic Theatre, Darlington",1976-03-10
2132,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Civic Theatre, Darlington",1976-03-11
2133,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Civic Theatre, Darlington",1976-03-12
2134,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Civic Theatre, Darlington",1976-03-13
2135,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Crewe Theatre,1976-03-15
2136,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Crewe Theatre,1976-03-16
2137,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Gaumont, Doncaster",1976-03-18
2138,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Gaumont, Doncaster",1976-03-19
2139,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Whitehall Theatre,1976-03-22
2140,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Whitehall Theatre,1976-03-23
2141,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Whitehall Theatre,1976-03-24
2142,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Adam Smith Theatre,1976-03-26
2143,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Adam Smith Theatre,1976-03-27
2144,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée",Royal Court Theatre,1976-03-30
2145,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée",Royal Court Theatre,1976-04-03
2146,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Empire Theatre, Sunderland",1976-04-08
2147,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","Empire Theatre, Sunderland",1976-04-09
2148,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Royal Court Theatre,1976-03-31
2149,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Royal Court Theatre,1976-04-02
2150,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Empire Theatre, Sunderland",1976-04-07
2151,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears",Royal Court Theatre,1976-04-01
2152,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","Empire Theatre, Sunderland",1976-04-10
2153,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Empire Theatre, Sunderland",1976-04-06
2154,Ariadne auf Naxos,,Hugo von Hofmannsthal,MacRobert Arts Centre ,1976-04-15
2155,Ariadne auf Naxos,,Hugo von Hofmannsthal,MacRobert Arts Centre ,1976-04-17
2156,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1976-04-06
2157,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1976-04-07
2158,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1976-04-08
2159,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1976-04-09
2160,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1976-04-10
2161,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1976-04-10
2162,Rape of Lucretia,Benjamin Britten,Ronald Duncan,MacRobert Arts Centre ,1976-04-16
2163,Rape of Lucretia,Benjamin Britten,Ronald Duncan,Perth Theatre,1976-04-20
2164,Rape of Lucretia,Benjamin Britten,Ronald Duncan,Perth Theatre,1976-04-22
2165,Rape of Lucretia,Benjamin Britten,Ronald Duncan,Perth Theatre,1976-04-24
2166,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"King's Theatre, Edinburgh",1976-04-27
2167,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"King's Theatre, Edinburgh",1976-04-28
2168,Rape of Lucretia,Benjamin Britten,Ronald Duncan,"King's Theatre, Edinburgh",1976-04-29
2169,Rape of Lucretia,Benjamin Britten,Ronald Duncan,Oper,1976-05-20
2170,Rape of Lucretia,Benjamin Britten,Ronald Duncan,Staatstheater,1976-05-22
2171,Ariadne auf Naxos,,Hugo von Hofmannsthal,"King's Theatre, Edinburgh",1976-04-30
2172,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1976-05-01
2173,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1976-05-08
2174,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1976-05-13
2175,Falstaff,Giuseppe Verdi,Arrigo Boito,"King's Theatre, Edinburgh",1976-05-04
2176,Falstaff,Giuseppe Verdi,Arrigo Boito,"King's Theatre, Edinburgh",1976-05-11
2177,Falstaff,Giuseppe Verdi,Arrigo Boito,"King's Theatre, Edinburgh",1976-05-15
2178,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1976-05-05
2179,Fledermaus ,Johann Strauss,"Carl Haffner
				Richard Genée","King's Theatre, Edinburgh",1976-05-07
2180,Midsummer Night's Dream,Benjamin Britten,"Benjamin Britten
				Peter Pears","King's Theatre, Edinburgh",1976-05-06
2181,Otello,Giuseppe Verdi,Arrigo Boito,"King's Theatre, Edinburgh",1976-05-12
2182,Otello,Giuseppe Verdi,Arrigo Boito,"King's Theatre, Edinburgh",1976-05-14
2183,Rhinegold,Richard Wagner,Richard Wagner,"Theatre Royal, Glasgow",1976-05-24
2184,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Newcastle",1976-05-25
2185,Golden Cockerel,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Theatre Royal, Newcastle",1976-05-26
2186,Siegfried,Richard Wagner,Richard Wagner,"Theatre Royal, Glasgow",1976-05-27
