,composer,date,work
4543,GIUSEPPE VERDI,1980-04-26,OTELLO
4544,GIUSEPPE VERDI,1980-04-29,OTELLO
4545,GIUSEPPE VERDI,1980-05-03,OTELLO
4546,GIUSEPPE VERDI,1980-05-06,OTELLO
4547,DOMENICO CIMAROSA,1980-05-25,IL MATRIMONIO SEGRETO
4548,DOMENICO CIMAROSA,1980-05-28,IL MATRIMONIO SEGRETO
4549,DOMENICO CIMAROSA,1980-05-29,IL MATRIMONIO SEGRETO
4550,DOMENICO CIMAROSA,1980-05-31,IL MATRIMONIO SEGRETO
4551,DOMENICO CIMAROSA,1980-06-01,IL MATRIMONIO SEGRETO
4552,DOMENICO CIMAROSA,1980-06-03,IL MATRIMONIO SEGRETO
4553,DOMENICO CIMAROSA,1980-06-06,IL MATRIMONIO SEGRETO
4554,GIUSEPPE VERDI,1980-12-07,FALSTAFF
4555,GIUSEPPE VERDI,1980-12-11,FALSTAFF
4556,GIUSEPPE VERDI,1980-12-14,FALSTAFF
4557,GIUSEPPE VERDI,1980-12-18,FALSTAFF
4558,GIUSEPPE VERDI,1980-12-24,FALSTAFF
4559,GIUSEPPE VERDI,1980-12-27,FALSTAFF
4560,GIUSEPPE VERDI,1981-01-04,FALSTAFF
4561,GIUSEPPE VERDI,1981-01-07,FALSTAFF
4562,GIUSEPPE VERDI,1981-01-09,FALSTAFF
4563,SYLVANO BUSSOTTI,1980-12-09,LE RACINE
4564,SYLVANO BUSSOTTI,1980-12-11,LE RACINE
4565,SYLVANO BUSSOTTI,1980-12-13,LE RACINE
4566,SYLVANO BUSSOTTI,1980-12-14,LE RACINE
4567,SYLVANO BUSSOTTI,1980-12-16,LE RACINE
4568,SYLVANO BUSSOTTI,1980-12-18,LE RACINE
4569,SYLVANO BUSSOTTI,1980-12-19,LE RACINE
4570,SYLVANO BUSSOTTI,1980-12-21,LE RACINE
4571,SYLVANO BUSSOTTI,1980-12-23,LE RACINE
4572,MODEST P. MUSORGSKIJ,1981-01-14,BORIS GODUNOV
4573,MODEST P. MUSORGSKIJ,1981-01-18,BORIS GODUNOV
4574,MODEST P. MUSORGSKIJ,1981-01-22,BORIS GODUNOV
4575,MODEST P. MUSORGSKIJ,1981-01-25,BORIS GODUNOV
4576,MODEST P. MUSORGSKIJ,1981-01-29,BORIS GODUNOV
4577,MODEST P. MUSORGSKIJ,1981-01-31,BORIS GODUNOV
4578,,1981-01-27,CAVALLERIA 
4579,,1981-01-27, PAGLIACCI
4580,,1981-01-30,CAVALLERIA 
4581,,1981-01-30, PAGLIACCI
4582,,1981-02-03,CAVALLERIA 
4583,,1981-02-03, PAGLIACCI
4584,,1981-02-05,CAVALLERIA 
4585,,1981-02-05, PAGLIACCI
4586,,1981-02-07,CAVALLERIA 
4587,,1981-02-07, PAGLIACCI
4588,,1981-02-11,CAVALLERIA 
4589,,1981-02-11, PAGLIACCI
4590,,1981-02-14,CAVALLERIA 
4591,,1981-02-14, PAGLIACCI
4592,,1981-02-17,CAVALLERIA 
4593,,1981-02-17, PAGLIACCI
4594,,1981-01-27,CAVALLERIA 
4595,,1981-01-27, PAGLIACCI
4596,,1981-01-30,CAVALLERIA 
4597,,1981-01-30, PAGLIACCI
4598,,1981-02-03,CAVALLERIA 
4599,,1981-02-03, PAGLIACCI
4600,,1981-02-05,CAVALLERIA 
4601,,1981-02-05, PAGLIACCI
4602,,1981-02-07,CAVALLERIA 
4603,,1981-02-07, PAGLIACCI
4604,,1981-02-11,CAVALLERIA 
4605,,1981-02-11, PAGLIACCI
4606,,1981-02-14,CAVALLERIA 
4607,,1981-02-14, PAGLIACCI
4608,,1981-02-17,CAVALLERIA 
4609,,1981-02-17, PAGLIACCI
4610,FLAVIO TESTI,1981-02-05,IL SOSIA
4611,FLAVIO TESTI,1981-02-10,IL SOSIA
4612,FLAVIO TESTI,1981-02-12,IL SOSIA
4613,FLAVIO TESTI,1981-02-15,IL SOSIA
4614,FLAVIO TESTI,1981-02-17,IL SOSIA
4615,GAETANO DONIZETTI,1981-02-24,RITA
4616,GAETANO DONIZETTI,1981-02-26,RITA
4617,GAETANO DONIZETTI,1981-02-27,RITA
4618,GAETANO DONIZETTI,1981-03-03,RITA
4619,GAETANO DONIZETTI,1981-03-04,RITA
4620,MODEST P. MUSORGSKIJ,1981-02-24,CHOVANSCHINA
4621,MODEST P. MUSORGSKIJ,1981-02-28,CHOVANSCHINA
4622,MODEST P. MUSORGSKIJ,1981-03-01,CHOVANSCHINA
4623,MODEST P. MUSORGSKIJ,1981-03-03,CHOVANSCHINA
4624,MODEST P. MUSORGSKIJ,1981-03-07,CHOVANSCHINA
4625,MODEST P. MUSORGSKIJ,1981-03-08,CHOVANSCHINA
4626,KARLHEINZ STOCKHAUSEN,1981-03-15,DONNERSTAG AUS LICHT
4627,KARLHEINZ STOCKHAUSEN,1981-03-18,DONNERSTAG AUS LICHT
4628,KARLHEINZ STOCKHAUSEN,1981-03-21,DONNERSTAG AUS LICHT
4629,KARLHEINZ STOCKHAUSEN,1981-03-24,DONNERSTAG AUS LICHT
4630,KARLHEINZ STOCKHAUSEN,1981-03-27,DONNERSTAG AUS LICHT
4631,KARLHEINZ STOCKHAUSEN,1981-04-03,DONNERSTAG AUS LICHT
4632,KARLHEINZ STOCKHAUSEN,1981-04-05,DONNERSTAG AUS LICHT
4633,KARLHEINZ STOCKHAUSEN,1981-04-07,DONNERSTAG AUS LICHT
4634,GEORG FRIEDRICH HAENDEL,1981-03-24,ARIODANTE
4635,GEORG FRIEDRICH HAENDEL,1981-03-26,ARIODANTE
4636,GEORG FRIEDRICH HAENDEL,1981-03-27,ARIODANTE
4637,GEORG FRIEDRICH HAENDEL,1981-03-28,ARIODANTE
4638,GEORG FRIEDRICH HAENDEL,1981-03-29,ARIODANTE
4639,GEORG FRIEDRICH HAENDEL,1981-03-31,ARIODANTE
4640,GEORG FRIEDRICH HAENDEL,1981-04-01,ARIODANTE
4641,GEORG FRIEDRICH HAENDEL,1981-04-02,ARIODANTE
4642,GEORG FRIEDRICH HAENDEL,1981-04-03,ARIODANTE
4643,MODEST P. MUSORGSKIJ,1981-03-31,LA FIERA DI SOROCINZY
4644,MODEST P. MUSORGSKIJ,1981-04-02,LA FIERA DI SOROCINZY
4645,MODEST P. MUSORGSKIJ,1981-04-10,LA FIERA DI SOROCINZY
4646,MODEST P. MUSORGSKIJ,1981-04-15,LA FIERA DI SOROCINZY
4647,MODEST P. MUSORGSKIJ,1981-04-18,LA FIERA DI SOROCINZY
4648,MODEST P. MUSORGSKIJ,1981-04-22,LA FIERA DI SOROCINZY
4649,MODEST P. MUSORGSKIJ,1981-04-15,UNA PROVA DEL MATRIMONIO
4650,MODEST P. MUSORGSKIJ,1981-04-16,UNA PROVA DEL MATRIMONIO
4651,MODEST P. MUSORGSKIJ,1981-04-17,UNA PROVA DEL MATRIMONIO
4652,MODEST P. MUSORGSKIJ,1981-04-18,UNA PROVA DEL MATRIMONIO
4653,MODEST P. MUSORGSKIJ,1981-04-22,UNA PROVA DEL MATRIMONIO
4654,MODEST P. MUSORGSKIJ,1981-04-23,UNA PROVA DEL MATRIMONIO
4655,MODEST P. MUSORGSKIJ,1981-04-24,UNA PROVA DEL MATRIMONIO
4656,WOLFGANG AMADEUS MOZART,1981-05-19,LE NOZZE DI FIGARO
4657,WOLFGANG AMADEUS MOZART,1981-05-21,LE NOZZE DI FIGARO
4658,WOLFGANG AMADEUS MOZART,1981-05-23,LE NOZZE DI FIGARO
4659,WOLFGANG AMADEUS MOZART,1981-05-28,LE NOZZE DI FIGARO
4660,WOLFGANG AMADEUS MOZART,1981-05-30,LE NOZZE DI FIGARO
4661,GIACOMO PUCCINI,1981-05-27,LA BOHÈME
4662,GIACOMO PUCCINI,1981-05-29,LA BOHÈME
4663,GIACOMO PUCCINI,1981-05-31,LA BOHÈME
4664,GIACOMO PUCCINI,1981-06-02,LA BOHÈME
4665,GIACOMO PUCCINI,1981-09-15,LA BOHÈME
4666,GIACOMO PUCCINI,1981-09-17,LA BOHÈME
4667,GIACOMO PUCCINI,1981-09-19,LA BOHÈME
4668,GIACOMO PUCCINI,1981-09-21,LA BOHÈME
4669,GIACOMO PUCCINI,1981-09-25,LA BOHÈME
4670,GIACOMO PUCCINI,1981-09-27,LA BOHÈME
4671,GIACOMO PUCCINI,1981-09-30,LA BOHÈME
4672,GIOVANNI BATTISTA PERGOLESI,1981-06-02,LA SERVA PADRONA
4673,GIOVANNI BATTISTA PERGOLESI,1981-06-03,LA SERVA PADRONA
4674,GIOVANNI BATTISTA PERGOLESI,1981-06-04,LA SERVA PADRONA
4675,GIUSEPPE VERDI,1981-09-01,SIMON BOCCANEGRA
4676,GIUSEPPE VERDI,1981-09-04,SIMON BOCCANEGRA
4677,GIUSEPPE VERDI,1981-09-07,SIMON BOCCANEGRA
4678,GIUSEPPE VERDI,1981-09-10,SIMON BOCCANEGRA
4679,GIUSEPPE VERDI,1981-09-02,OTELLO
4680,GIUSEPPE VERDI,1981-09-05,OTELLO
4681,GIUSEPPE VERDI,1981-09-08,OTELLO
4682,GIOACHINO ROSSINI,1981-09-16,IL BARBIERE DI SIVIGLIA
4683,GIOACHINO ROSSINI,1981-09-18,IL BARBIERE DI SIVIGLIA
4684,GIOACHINO ROSSINI,1981-09-20,IL BARBIERE DI SIVIGLIA
4685,GIOACHINO ROSSINI,1981-09-22,IL BARBIERE DI SIVIGLIA
4686,RICHARD WAGNER,1981-12-07,LOHENGRIN
4687,RICHARD WAGNER,1981-12-10,LOHENGRIN
4688,RICHARD WAGNER,1981-12-13,LOHENGRIN
4689,RICHARD WAGNER,1981-12-17,LOHENGRIN
4690,RICHARD WAGNER,1981-12-20,LOHENGRIN
4691,RICHARD WAGNER,1981-12-22,LOHENGRIN
4692,RICHARD WAGNER,1981-12-24,LOHENGRIN
4693,RICHARD WAGNER,1981-12-27,LOHENGRIN
4694,,1981-12-11,VANITAS 
4695,,1981-12-11, VARIETE'
4696,,1981-12-12,VANITAS 
4697,,1981-12-12, VARIETE'
4698,,1981-12-13,VANITAS 
4699,,1981-12-13, VARIETE'
4700,,1981-12-15,VANITAS 
4701,,1981-12-15, VARIETE'
4702,,1981-12-16,VANITAS 
4703,,1981-12-16, VARIETE'
4704,,1981-12-18,VANITAS 
4705,,1981-12-18, VARIETE'
4706,,1981-12-19,VANITAS 
4707,,1981-12-19, VARIETE'
4708,,1981-12-20,VANITAS 
4709,,1981-12-20, VARIETE'
4710,,1981-12-11,VANITAS 
4711,,1981-12-11, VARIETE'
4712,,1981-12-12,VANITAS 
4713,,1981-12-12, VARIETE'
4714,,1981-12-13,VANITAS 
4715,,1981-12-13, VARIETE'
4716,,1981-12-15,VANITAS 
4717,,1981-12-15, VARIETE'
4718,,1981-12-16,VANITAS 
4719,,1981-12-16, VARIETE'
4720,,1981-12-18,VANITAS 
4721,,1981-12-18, VARIETE'
4722,,1981-12-19,VANITAS 
4723,,1981-12-19, VARIETE'
4724,,1981-12-20,VANITAS 
4725,,1981-12-20, VARIETE'
4726,GIUSEPPE VERDI,1982-01-08,FALSTAFF
4727,GIUSEPPE VERDI,1982-01-10,FALSTAFF
4728,GIUSEPPE VERDI,1982-01-12,FALSTAFF
4729,GIUSEPPE VERDI,1982-01-17,FALSTAFF
4730,GIUSEPPE VERDI,1982-01-20,SIMON BOCCANEGRA
4731,GIUSEPPE VERDI,1982-01-22,SIMON BOCCANEGRA
4732,GIUSEPPE VERDI,1982-01-24,SIMON BOCCANEGRA
4733,GIUSEPPE VERDI,1982-01-28,SIMON BOCCANEGRA
4734,GIUSEPPE VERDI,1982-01-30,SIMON BOCCANEGRA
4735,GIOACHINO ROSSINI,1982-02-09,LA PIETRA DEL PARAGONE
4736,GIOACHINO ROSSINI,1982-02-11,LA PIETRA DEL PARAGONE
4737,GIOACHINO ROSSINI,1982-02-13,LA PIETRA DEL PARAGONE
4738,GIOACHINO ROSSINI,1982-02-15,LA PIETRA DEL PARAGONE
4739,GIOACHINO ROSSINI,1982-02-17,LA PIETRA DEL PARAGONE
4740,GIOACHINO ROSSINI,1982-02-21,LA PIETRA DEL PARAGONE
4741,GIOACHINO ROSSINI,1982-02-24,LA PIETRA DEL PARAGONE
4742,GIOACHINO ROSSINI,1982-02-25,LA PIETRA DEL PARAGONE
4743,GAETANO DONIZETTI,1982-02-21,ANNA BOLENA
4744,GAETANO DONIZETTI,1982-02-23,ANNA BOLENA
4745,GAETANO DONIZETTI,1982-02-26,ANNA BOLENA
4746,GAETANO DONIZETTI,1982-03-02,ANNA BOLENA
4747,GAETANO DONIZETTI,1982-03-04,ANNA BOLENA
4748,LUCIANO BERIO,1982-03-09,LA VERA STORIA
4749,LUCIANO BERIO,1982-03-10,LA VERA STORIA
4750,LUCIANO BERIO,1982-03-11,LA VERA STORIA
4751,LUCIANO BERIO,1982-03-12,LA VERA STORIA
4752,LUCIANO BERIO,1982-03-13,LA VERA STORIA
4753,LUCIANO BERIO,1982-03-14,LA VERA STORIA
4754,FLAVIO TESTI,1982-03-14,IL SOSIA
4755,FLAVIO TESTI,1982-03-16,IL SOSIA
4756,FLAVIO TESTI,1982-03-18,IL SOSIA
4757,FLAVIO TESTI,1982-03-20,IL SOSIA
4758,GIOACHINO ROSSINI,1982-03-31,LA CENERENTOLA
4759,GIOACHINO ROSSINI,1982-04-07,LA CENERENTOLA
4760,GIOACHINO ROSSINI,1982-04-10,LA CENERENTOLA
4761,GIOACHINO ROSSINI,1982-04-16,LA CENERENTOLA
4762,GIOACHINO ROSSINI,1982-04-20,LA CENERENTOLA
4763,GEORG FRIEDRICH HAENDEL,1982-04-08,ARIODANTE
4764,GEORG FRIEDRICH HAENDEL,1982-04-10,ARIODANTE
4765,GEORG FRIEDRICH HAENDEL,1982-04-13,ARIODANTE
4766,GEORG FRIEDRICH HAENDEL,1982-04-14,ARIODANTE
4767,GEORG FRIEDRICH HAENDEL,1982-04-15,ARIODANTE
4768,GEORG FRIEDRICH HAENDEL,1982-04-16,ARIODANTE
4769,GEORG FRIEDRICH HAENDEL,1982-04-18,ARIODANTE
4770,GEORG FRIEDRICH HAENDEL,1982-04-20,ARIODANTE
4771,GIUSEPPE VERDI,1982-04-15,OTELLO
4772,GIUSEPPE VERDI,1982-04-19,OTELLO
4773,GIUSEPPE VERDI,1982-04-21,OTELLO
4774,HECTOR BERLIOZ,1982-05-04,LES TROYENS
4775,HECTOR BERLIOZ,1982-05-07,LES TROYENS
4776,HECTOR BERLIOZ,1982-05-09,LES TROYENS
4777,HECTOR BERLIOZ,1982-05-11,LES TROYENS
4778,,1982-05-14,THE FLOOD 
4779,,1982-05-14, RENARD 
4780,,1982-05-14, MAVRA
4781,,1982-05-16,THE FLOOD 
4782,,1982-05-16, RENARD 
4783,,1982-05-16, MAVRA
4784,,1982-05-17,THE FLOOD 
4785,,1982-05-17, RENARD 
4786,,1982-05-17, MAVRA
4787,,1982-05-19,THE FLOOD 
4788,,1982-05-19, RENARD 
4789,,1982-05-19, MAVRA
4790,,1982-05-20,THE FLOOD 
4791,,1982-05-20, RENARD 
4792,,1982-05-20, MAVRA
4793,,1982-05-22,THE FLOOD 
4794,,1982-05-22, RENARD 
4795,,1982-05-22, MAVRA
4796,,1982-05-23,THE FLOOD 
4797,,1982-05-23, RENARD 
4798,,1982-05-23, MAVRA
4799,,1982-05-24,THE FLOOD 
4800,,1982-05-24, RENARD 
4801,,1982-05-24, MAVRA
4802,,1982-05-14,THE FLOOD 
4803,,1982-05-14, RENARD 
4804,,1982-05-14, MAVRA
4805,,1982-05-16,THE FLOOD 
4806,,1982-05-16, RENARD 
4807,,1982-05-16, MAVRA
4808,,1982-05-17,THE FLOOD 
4809,,1982-05-17, RENARD 
4810,,1982-05-17, MAVRA
4811,,1982-05-19,THE FLOOD 
4812,,1982-05-19, RENARD 
4813,,1982-05-19, MAVRA
4814,,1982-05-20,THE FLOOD 
4815,,1982-05-20, RENARD 
4816,,1982-05-20, MAVRA
4817,,1982-05-22,THE FLOOD 
4818,,1982-05-22, RENARD 
4819,,1982-05-22, MAVRA
4820,,1982-05-23,THE FLOOD 
4821,,1982-05-23, RENARD 
4822,,1982-05-23, MAVRA
4823,,1982-05-24,THE FLOOD 
4824,,1982-05-24, RENARD 
4825,,1982-05-24, MAVRA
4826,,1982-05-14,THE FLOOD 
4827,,1982-05-14, RENARD 
4828,,1982-05-14, MAVRA
4829,,1982-05-16,THE FLOOD 
4830,,1982-05-16, RENARD 
4831,,1982-05-16, MAVRA
4832,,1982-05-17,THE FLOOD 
4833,,1982-05-17, RENARD 
4834,,1982-05-17, MAVRA
4835,,1982-05-19,THE FLOOD 
4836,,1982-05-19, RENARD 
4837,,1982-05-19, MAVRA
4838,,1982-05-20,THE FLOOD 
4839,,1982-05-20, RENARD 
4840,,1982-05-20, MAVRA
4841,,1982-05-22,THE FLOOD 
4842,,1982-05-22, RENARD 
4843,,1982-05-22, MAVRA
4844,,1982-05-23,THE FLOOD 
4845,,1982-05-23, RENARD 
4846,,1982-05-23, MAVRA
4847,,1982-05-24,THE FLOOD 
4848,,1982-05-24, RENARD 
4849,,1982-05-24, MAVRA
4850,WOLFGANG AMADEUS MOZART,1982-05-21,LE NOZZE DI FIGARO
4851,WOLFGANG AMADEUS MOZART,1982-05-23,LE NOZZE DI FIGARO
4852,WOLFGANG AMADEUS MOZART,1982-05-25,LE NOZZE DI FIGARO
4853,WOLFGANG AMADEUS MOZART,1982-05-27,LE NOZZE DI FIGARO
4854,WOLFGANG AMADEUS MOZART,1982-06-03,LE NOZZE DI FIGARO
4855,BALDASSARRE GALUPPI,1982-06-21,IL FILOSOFO DI CAMPAGNA
4856,BALDASSARRE GALUPPI,1982-06-22,IL FILOSOFO DI CAMPAGNA
4857,BALDASSARRE GALUPPI,1982-06-23,IL FILOSOFO DI CAMPAGNA
4858,,1982-09-20,TROTTOLA
4859,,1982-09-20,OLTRE NARCISO
4860,,1982-09-20,SOGNO DI TITANIA
4861,,1982-09-21,TROTTOLA
4862,,1982-09-21,OLTRE NARCISO
4863,,1982-09-21,SOGNO DI TITANIA
4864,,1982-09-22,TROTTOLA
4865,,1982-09-22,OLTRE NARCISO
4866,,1982-09-22,SOGNO DI TITANIA
4867,,1982-09-23,TROTTOLA
4868,,1982-09-23,OLTRE NARCISO
4869,,1982-09-23,SOGNO DI TITANIA
4870,,1982-09-24,TROTTOLA
4871,,1982-09-24,OLTRE NARCISO
4872,,1982-09-24,SOGNO DI TITANIA
4873,,1982-09-25,TROTTOLA
4874,,1982-09-25,OLTRE NARCISO
4875,,1982-09-25,SOGNO DI TITANIA
4876,,1982-09-20,TROTTOLA
4877,,1982-09-20,OLTRE NARCISO
4878,,1982-09-20,SOGNO DI TITANIA
4879,,1982-09-21,TROTTOLA
4880,,1982-09-21,OLTRE NARCISO
4881,,1982-09-21,SOGNO DI TITANIA
4882,,1982-09-22,TROTTOLA
4883,,1982-09-22,OLTRE NARCISO
4884,,1982-09-22,SOGNO DI TITANIA
4885,,1982-09-23,TROTTOLA
4886,,1982-09-23,OLTRE NARCISO
4887,,1982-09-23,SOGNO DI TITANIA
4888,,1982-09-24,TROTTOLA
4889,,1982-09-24,OLTRE NARCISO
4890,,1982-09-24,SOGNO DI TITANIA
4891,,1982-09-25,TROTTOLA
4892,,1982-09-25,OLTRE NARCISO
4893,,1982-09-25,SOGNO DI TITANIA
4894,,1982-09-20,TROTTOLA
4895,,1982-09-20,OLTRE NARCISO
4896,,1982-09-20,SOGNO DI TITANIA
4897,,1982-09-21,TROTTOLA
4898,,1982-09-21,OLTRE NARCISO
4899,,1982-09-21,SOGNO DI TITANIA
4900,,1982-09-22,TROTTOLA
4901,,1982-09-22,OLTRE NARCISO
4902,,1982-09-22,SOGNO DI TITANIA
4903,,1982-09-23,TROTTOLA
4904,,1982-09-23,OLTRE NARCISO
4905,,1982-09-23,SOGNO DI TITANIA
4906,,1982-09-24,TROTTOLA
4907,,1982-09-24,OLTRE NARCISO
4908,,1982-09-24,SOGNO DI TITANIA
4909,,1982-09-25,TROTTOLA
4910,,1982-09-25,OLTRE NARCISO
4911,,1982-09-25,SOGNO DI TITANIA
4912,GIUSEPPE VERDI,1982-12-07,ERNANI
4913,GIUSEPPE VERDI,1982-12-11,ERNANI
4914,GIUSEPPE VERDI,1982-12-14,ERNANI
4915,GIUSEPPE VERDI,1982-12-18,ERNANI
4916,GIUSEPPE VERDI,1982-12-22,ERNANI
4917,GIUSEPPE VERDI,1982-12-28,ERNANI
4918,GIUSEPPE VERDI,1982-12-30,ERNANI
4919,GIUSEPPE VERDI,1983-01-04,ERNANI
4920,GIROLAMO ARRIGO,1982-12-14,ADDIO GARIBALDI
4921,GIROLAMO ARRIGO,1982-12-15,ADDIO GARIBALDI
4922,GIROLAMO ARRIGO,1982-12-17,ADDIO GARIBALDI
4923,GIROLAMO ARRIGO,1982-12-18,ADDIO GARIBALDI
4924,GIROLAMO ARRIGO,1982-12-19,ADDIO GARIBALDI
4925,GIROLAMO ARRIGO,1982-12-21,ADDIO GARIBALDI
4926,GIROLAMO ARRIGO,1982-12-22,ADDIO GARIBALDI
4927,UMBERTO GIORDANO,1982-12-23,ANDREA CHÉNIER
4928,UMBERTO GIORDANO,1982-12-29,ANDREA CHÉNIER
4929,UMBERTO GIORDANO,1982-12-31,ANDREA CHÉNIER
4930,UMBERTO GIORDANO,1983-01-02,ANDREA CHÉNIER
4931,UMBERTO GIORDANO,1983-01-05,ANDREA CHÉNIER
4932,UMBERTO GIORDANO,1983-01-06,ANDREA CHÉNIER
4933,UMBERTO GIORDANO,1983-01-09,ANDREA CHÉNIER
4934,UMBERTO GIORDANO,1983-01-11,ANDREA CHÉNIER
4935,UMBERTO GIORDANO,1983-01-13,ANDREA CHÉNIER
4936,UMBERTO GIORDANO,1983-01-16,ANDREA CHÉNIER
4937,UMBERTO GIORDANO,1983-01-18,ANDREA CHÉNIER
4938,SALVATORE SCIARRINO,1983-01-15,LOHENGRIN
4939,SALVATORE SCIARRINO,1983-01-16,LOHENGRIN
4940,SALVATORE SCIARRINO,1983-01-18,LOHENGRIN
4941,SALVATORE SCIARRINO,1983-01-19,LOHENGRIN
4942,SALVATORE SCIARRINO,1983-01-21,LOHENGRIN
4943,SALVATORE SCIARRINO,1983-01-22,LOHENGRIN
4944,SALVATORE SCIARRINO,1983-01-23,LOHENGRIN
4945,SALVATORE SCIARRINO,1983-07-23,LOHENGRIN
4946,SALVATORE SCIARRINO,1983-07-24,LOHENGRIN
4947,SALVATORE SCIARRINO,1983-07-25,LOHENGRIN
4948,SALVATORE SCIARRINO,1983-07-26,LOHENGRIN
4949,SALVATORE SCIARRINO,1983-07-27,LOHENGRIN
4950,,1983-02-11,IL TRITTICO
4951,,1983-02-13,IL TRITTICO
4952,,1983-02-15,IL TRITTICO
4953,,1983-02-17,IL TRITTICO
4954,,1983-02-20,IL TRITTICO
4955,,1983-02-22,IL TRITTICO
4956,,1983-02-24,IL TRITTICO
4957,,1983-03-02,IL TRITTICO
4958,,1983-03-06,IL TRITTICO
4959,,1983-02-11,IL TRITTICO
4960,,1983-02-13,IL TRITTICO
4961,,1983-02-15,IL TRITTICO
4962,,1983-02-17,IL TRITTICO
4963,,1983-02-20,IL TRITTICO
4964,,1983-02-22,IL TRITTICO
4965,,1983-02-24,IL TRITTICO
4966,,1983-03-02,IL TRITTICO
4967,,1983-03-06,IL TRITTICO
4968,,1983-02-11,IL TRITTICO
4969,,1983-02-13,IL TRITTICO
4970,,1983-02-15,IL TRITTICO
4971,,1983-02-17,IL TRITTICO
4972,,1983-02-20,IL TRITTICO
4973,,1983-02-22,IL TRITTICO
4974,,1983-02-24,IL TRITTICO
4975,,1983-03-02,IL TRITTICO
4976,,1983-03-06,IL TRITTICO
4977,CHRISTOPH WILLIBALD GLUCK,1983-02-16,LES PÈLERINS DE LA MECQUE
4978,CHRISTOPH WILLIBALD GLUCK,1983-02-18,LES PÈLERINS DE LA MECQUE
4979,CHRISTOPH WILLIBALD GLUCK,1983-02-19,LES PÈLERINS DE LA MECQUE
4980,CHRISTOPH WILLIBALD GLUCK,1983-02-20,LES PÈLERINS DE LA MECQUE
4981,CHRISTOPH WILLIBALD GLUCK,1983-02-21,LES PÈLERINS DE LA MECQUE
4982,CHRISTOPH WILLIBALD GLUCK,1983-02-23,LES PÈLERINS DE LA MECQUE
4983,CHRISTOPH WILLIBALD GLUCK,1983-02-25,LES PÈLERINS DE LA MECQUE
4984,CHRISTOPH WILLIBALD GLUCK,1983-02-26,LES PÈLERINS DE LA MECQUE
4985,CHRISTOPH WILLIBALD GLUCK,1983-02-27,LES PÈLERINS DE LA MECQUE
4986,LUIGI CHERUBINI,1983-03-01,ANACRÉON OU L'AMOUR FUGITIF
4987,LUIGI CHERUBINI,1983-03-05,ANACRÉON OU L'AMOUR FUGITIF
4988,LUIGI CHERUBINI,1983-03-08,ANACRÉON OU L'AMOUR FUGITIF
4989,LUIGI CHERUBINI,1983-03-13,ANACRÉON OU L'AMOUR FUGITIF
4990,LUIGI CHERUBINI,1983-03-16,ANACRÉON OU L'AMOUR FUGITIF
4991,LUIGI CHERUBINI,1983-03-19,ANACRÉON OU L'AMOUR FUGITIF
4992,GIOACHINO ROSSINI,1983-03-11,LA PIETRA DEL PARAGONE
4993,GIOACHINO ROSSINI,1983-03-12,LA PIETRA DEL PARAGONE
4994,GIOACHINO ROSSINI,1983-03-13,LA PIETRA DEL PARAGONE
4995,GIOACHINO ROSSINI,1983-03-14,LA PIETRA DEL PARAGONE
4996,GIOACHINO ROSSINI,1983-03-17,LA PIETRA DEL PARAGONE
4997,GIOACHINO ROSSINI,1983-03-20,LA PIETRA DEL PARAGONE
4998,GIOACHINO ROSSINI,1983-03-22,LA PIETRA DEL PARAGONE
4999,GIOACHINO ROSSINI,1983-03-28,LA PIETRA DEL PARAGONE
5000,GAETANO DONIZETTI,1983-03-15,LUCIA DI LAMMERMOOR
5001,GAETANO DONIZETTI,1983-03-18,LUCIA DI LAMMERMOOR
5002,GAETANO DONIZETTI,1983-03-20,LUCIA DI LAMMERMOOR
5003,GAETANO DONIZETTI,1983-03-23,LUCIA DI LAMMERMOOR
5004,GAETANO DONIZETTI,1983-03-26,LUCIA DI LAMMERMOOR
5005,GAETANO DONIZETTI,1983-03-29,LUCIA DI LAMMERMOOR
5006,GAETANO DONIZETTI,1983-03-31,LUCIA DI LAMMERMOOR
5007,RICHARD WAGNER,1983-04-14,LOHENGRIN
5008,RICHARD WAGNER,1983-04-17,LOHENGRIN
5009,RICHARD WAGNER,1983-04-20,LOHENGRIN
5010,RICHARD WAGNER,1983-04-22,LOHENGRIN
5011,RICHARD WAGNER,1983-04-24,LOHENGRIN
5012,GIOACHINO ROSSINI,1983-05-05,IL BARBIERE DI SIVIGLIA
5013,GIOACHINO ROSSINI,1983-05-06,IL BARBIERE DI SIVIGLIA
5014,GIOACHINO ROSSINI,1983-05-08,IL BARBIERE DI SIVIGLIA
5015,GIOACHINO ROSSINI,1983-05-09,IL BARBIERE DI SIVIGLIA
5016,GIOACHINO ROSSINI,1983-05-14,IL BARBIERE DI SIVIGLIA
5017,GIOACHINO ROSSINI,1983-05-16,IL BARBIERE DI SIVIGLIA
5018,GIOACHINO ROSSINI,1983-05-17,IL BARBIERE DI SIVIGLIA
5019,,1983-05-10,PIERROT 
5020,,1983-05-10, HAND 
5021,,1983-05-10, ERWARTUNG
5022,,1983-05-15,PIERROT 
5023,,1983-05-15, HAND 
5024,,1983-05-15, ERWARTUNG
5025,,1983-05-10,PIERROT 
5026,,1983-05-10, HAND 
5027,,1983-05-10, ERWARTUNG
5028,,1983-05-15,PIERROT 
5029,,1983-05-15, HAND 
5030,,1983-05-15, ERWARTUNG
