,date,work,composer
10804,1929-12-18,Armida,Antonín Dvořák
10805,1929-12-19,Rusalka,Antonín Dvořák
10806,1929-12-21,Šárka,Zdeněk Fibich
10807,1929-12-22,Troubadour,Giuseppe Verdi
10808,1929-12-23,The Bartered Bride,Bedřich Smetana
10809,1929-12-25,Šelma sedlák,Antonín Dvořák
10810,1929-12-25,Dalibor,Bedřich Smetana
10811,1929-12-26,Psohlavci,Karel Kovařovic
10812,1929-12-27,The Two Widows,Bedřich Smetana
10813,1929-12-28,Don Giovanni,Wolfgang Amadeus Mozart
10814,1929-12-29,Madama Butterfly,Giacomo Puccini
10815,1929-12-29,Faust a Markétka,Charles Gounod
10816,1929-12-30,The Secret,Bedřich Smetana
10817,1929-12-31,The Devil and Kate,Antonín Dvořák
10818,1930-01-01,The Kiss,Bedřich Smetana
10819,1930-01-01,Libuše,Bedřich Smetana
10820,1930-01-02,Tvrdé palice,Antonín Dvořák
10821,1930-01-02,V studni,Vilém Blodek
10822,1930-01-03,Madama Butterfly,Giacomo Puccini
10823,1930-01-04,Král a uhlíř,Antonín Dvořák
10824,1930-01-05,La Traviata,Giuseppe Verdi
10825,1930-01-05,Debora,Josef Bohuslav Foerster
10826,1930-01-07,Jenůfa,Leoš Janáček
10827,1930-01-08,Lohengrin,Richard Wagner
10828,1930-01-09,Nepřemožení,Josef Bohuslav Foerster
10829,1930-01-10,Rusalka,Antonín Dvořák
10830,1930-01-11,The Jacobin,Antonín Dvořák
10831,1930-01-12,Bludný Holanďan,Richard Wagner
10832,1930-01-13,Eva,Josef Bohuslav Foerster
10833,1930-01-14,Debora,Josef Bohuslav Foerster
10834,1930-01-17,Jessika,Josef Bohuslav Foerster
10835,1930-01-18,Debora,Josef Bohuslav Foerster
10836,1930-01-21,Otello,Giuseppe Verdi
10837,1930-01-22,Debora,Josef Bohuslav Foerster
10838,1930-01-23,Tannhäuser,Richard Wagner
10839,1930-01-25,Eva,Josef Bohuslav Foerster
10840,1930-01-25,Tosca,Giacomo Puccini
10841,1930-01-26,Dalibor,Bedřich Smetana
10842,1930-01-27,The Devil’s Wall,Bedřich Smetana
10843,1930-01-29,The Secret,Bedřich Smetana
10844,1930-01-29,Nepřemožení,Josef Bohuslav Foerster
10845,1930-02-01,The Bartered Bride,Bedřich Smetana
10846,1930-02-01,Srdce,Josef Bohuslav Foerster
10847,1930-02-02,The Two Widows,Bedřich Smetana
10848,1930-02-02,Rusalka,Antonín Dvořák
10849,1930-02-03,Srdce,Josef Bohuslav Foerster
10850,1930-02-05,Otello,Giuseppe Verdi
10851,1930-02-07,Bouře,Zdeněk Fibich
10852,1930-02-08,Šelma sedlák,Antonín Dvořák
10853,1930-02-10,Jenůfa,Leoš Janáček
10854,1930-02-12,The Kiss,Bedřich Smetana
10855,1930-02-12,Don Giovanni,Wolfgang Amadeus Mozart
10856,1930-02-13,Il barbiere di Siviglia,Gioacchino Rossini
10857,1930-02-14,Srdce,Josef Bohuslav Foerster
10858,1930-02-15,Bouře,Zdeněk Fibich
10859,1930-02-16,Armida,Antonín Dvořák
10860,1930-02-16,Oberon,Carl Maria von Weber
10861,1930-02-18,Bludný Holanďan,Richard Wagner
10862,1930-02-19,The Bartered Bride,Bedřich Smetana
10863,1930-02-20,Srdce,Josef Bohuslav Foerster
10864,1930-02-21,Eva,Josef Bohuslav Foerster
10865,1930-02-23,Dalibor,Bedřich Smetana
10866,1930-02-23,Faust a Markétka,Charles Gounod
10867,1930-02-25,Oberon,Carl Maria von Weber
10868,1930-02-26,I Pagliacci,Ruggiero Leoncavallo
10869,1930-02-26,Cavalleria rusticana,Pietro Mascagni
10870,1930-02-28,The Bartered Bride,Bedřich Smetana
10871,1930-03-01,Dalibor,Bedřich Smetana
10872,1930-03-02,The Bartered Bride,Bedřich Smetana
10873,1930-03-04,Srdce,Josef Bohuslav Foerster
10874,1930-03-06,Libuše,Bedřich Smetana
10875,1930-03-07,The Bartered Bride,Bedřich Smetana
10876,1930-03-09,Eugen Onegin,Pyotr Ilyich Tchaikovsky
10877,1930-03-12,Debora,Josef Bohuslav Foerster
10878,1930-03-14,Oberon,Carl Maria von Weber
10879,1930-03-18,Boris Godunov,Modest Petrovič Musorgskij
10880,1930-03-19,Madama Butterfly,Giacomo Puccini
10881,1930-03-21,Psohlavci,Karel Kovařovic
10882,1930-03-22,Carmen,Georges Bizet
10883,1930-03-23,The Kiss,Bedřich Smetana
10884,1930-03-23,Boris Godunov,Modest Petrovič Musorgskij
10885,1930-03-24,Debora,Josef Bohuslav Foerster
10886,1930-03-27,Otello,Giuseppe Verdi
10887,1930-03-29,Šárka,Zdeněk Fibich
10888,1930-03-29,Faust a Markétka,Charles Gounod
10889,1930-03-30,Rigoletto,Giuseppe Verdi
10890,1930-03-30,Rusalka,Antonín Dvořák
10891,1930-04-01,Dalibor,Bedřich Smetana
10892,1930-04-02,Les contes dHoffmann,Jacques Offenbach
10893,1930-04-03,Debora,Josef Bohuslav Foerster
10894,1930-04-05,Šárka,Zdeněk Fibich
10895,1930-04-06,The Two Widows,Bedřich Smetana
10896,1930-04-08,Tosca,Giacomo Puccini
