,date,work,composer
15495,1943-12-16,The Bartered Bride,Bedřich Smetana
15496,1943-12-18,Hipolyta,Jaroslav Křička
15497,1943-12-19,Il barbiere di Siviglia,Gioacchino Rossini
15498,1943-12-19,The Secret,Bedřich Smetana
15499,1943-12-20,The Kiss,Bedřich Smetana
15500,1943-12-21,Hipolyta,Jaroslav Křička
15501,1943-12-23,Hipolyta,Jaroslav Křička
15502,1943-12-25,The Bartered Bride,Bedřich Smetana
15503,1943-12-26,The Bartered Bride,Bedřich Smetana
15504,1943-12-26,The Two Widows,Bedřich Smetana
15505,1943-12-28,Hipolyta,Jaroslav Křička
15506,1943-12-30,Eva,Josef Bohuslav Foerster
15507,1944-01-01,The Bartered Bride,Bedřich Smetana
15508,1944-01-02,Rusalka,Antonín Dvořák
15509,1944-01-05,Šárka,Zdeněk Fibich
15510,1944-01-06,The Bartered Bride,Bedřich Smetana
15511,1944-01-07,Bagdadský lazebník,Peter Cornelius
15512,1944-01-08,Bojarská svatba,Karel Weis
15513,1944-01-09,The Kiss,Bedřich Smetana
15514,1944-01-10,Hipolyta,Jaroslav Křička
15515,1944-01-11,The Devil and Kate,Antonín Dvořák
15516,1944-01-12,Bojarská svatba,Karel Weis
15517,1944-01-13,Čarostřelec,Carl Maria von Weber
15518,1944-01-15,The Bartered Bride,Bedřich Smetana
15519,1944-01-16,The Bartered Bride,Bedřich Smetana
15520,1944-01-16,Bludný Holanďan,Richard Wagner
15521,1944-01-17,Bojarská svatba,Karel Weis
15522,1944-01-19,Orfeus a Eurydika,Christoph Willibald Gluck
15523,1944-01-21,Eva,Josef Bohuslav Foerster
15524,1944-01-22,Hipolyta,Jaroslav Křička
15525,1944-01-23,Orfeus a Eurydika,Christoph Willibald Gluck
15526,1944-01-25,Orfeus a Eurydika,Christoph Willibald Gluck
15527,1944-01-26,Čarostřelec,Carl Maria von Weber
15528,1944-01-28,The Bartered Bride,Bedřich Smetana
15529,1944-01-29,The Bartered Bride,Bedřich Smetana
15530,1944-01-29,Orfeus a Eurydika,Christoph Willibald Gluck
15531,1944-01-31,Rusalka,Antonín Dvořák
15532,1944-02-02,Rusalka,Antonín Dvořák
15533,1944-02-04,V studni,Vilém Blodek
15534,1944-02-04,Poupě,Otakar Ostrčil
15535,1944-02-05,Madama Butterfly,Giacomo Puccini
15536,1944-02-06,The Magic Flute,Wolfgang Amadeus Mozart
15537,1944-02-08,Poupě,Otakar Ostrčil
15538,1944-02-08,V studni,Vilém Blodek
15539,1944-02-10,The Kiss,Bedřich Smetana
15540,1944-02-11,The Magic Flute,Wolfgang Amadeus Mozart
15541,1944-02-12,The Kiss,Bedřich Smetana
15542,1944-02-12,Bojarská svatba,Karel Weis
15543,1944-02-13,The Kiss,Bedřich Smetana
15544,1944-02-13,The Magic Flute,Wolfgang Amadeus Mozart
15545,1944-02-14,Eva,Josef Bohuslav Foerster
15546,1944-02-15,The Magic Flute,Wolfgang Amadeus Mozart
15547,1944-02-20,Poupě,Otakar Ostrčil
15548,1944-02-20,V studni,Vilém Blodek
15549,1944-02-21,Eva,Josef Bohuslav Foerster
15550,1944-02-22,Fidelio,Ludwig van Beethoven
15551,1944-02-22,Fidelio,Ludwig van Beethoven
15552,1944-02-24,Bouře,Zdeněk Fibich
15553,1944-02-25,Šárka,Zdeněk Fibich
15554,1944-02-26,Madama Butterfly,Giacomo Puccini
15555,1944-02-27,Rusalka,Antonín Dvořák
15556,1944-02-27,La Traviata,Giuseppe Verdi
15557,1944-02-28,Šárka,Zdeněk Fibich
15558,1944-02-29,Tvrdé palice,Antonín Dvořák
15559,1944-02-29,V studni,Vilém Blodek
15560,1944-03-01,The Bartered Bride,Bedřich Smetana
15561,1944-03-03,Orfeus a Eurydika,Christoph Willibald Gluck
15562,1944-03-04,Il barbiere di Siviglia,Gioacchino Rossini
15563,1944-03-04,Poupě,Otakar Ostrčil
15564,1944-03-04,V studni,Vilém Blodek
15565,1944-03-05,La Traviata,Giuseppe Verdi
15566,1944-03-05,Eva,Josef Bohuslav Foerster
15567,1944-03-06,Tvrdé palice,Antonín Dvořák
15568,1944-03-06,V studni,Vilém Blodek
15569,1944-03-07,Rigoletto,Giuseppe Verdi
15570,1944-03-08,The Two Widows,Bedřich Smetana
15571,1944-03-10,The Two Widows,Bedřich Smetana
15572,1944-03-11,The Devil and Kate,Antonín Dvořák
15573,1944-03-11,The Bartered Bride,Bedřich Smetana
15574,1944-03-12,Rusalka,Antonín Dvořák
15575,1944-03-12,Rigoletto,Giuseppe Verdi
15576,1944-03-13,Rusalka,Antonín Dvořák
15577,1944-03-15,Bludný Holanďan,Richard Wagner
15578,1944-03-16,Madama Butterfly,Giacomo Puccini
15579,1944-03-17,Dalibor,Bedřich Smetana
15580,1944-03-18,Il barbiere di Siviglia,Gioacchino Rossini
15581,1944-03-18,The Bartered Bride,Bedřich Smetana
15582,1944-03-19,The Bartered Bride,Bedřich Smetana
15583,1944-03-19,Dalibor,Bedřich Smetana
15584,1944-03-20,The Bartered Bride,Bedřich Smetana
15585,1944-03-21,Madama Butterfly,Giacomo Puccini
15586,1944-03-22,The Kiss,Bedřich Smetana
15587,1944-03-23,The Two Widows,Bedřich Smetana
15588,1944-03-24,Dalibor,Bedřich Smetana
15589,1944-03-25,V studni,Vilém Blodek
15590,1944-03-25,Il barbiere di Siviglia,Gioacchino Rossini
15591,1944-03-26,Rusalka,Antonín Dvořák
15592,1944-03-27,The Two Widows,Bedřich Smetana
15593,1944-03-28,Paličatý švec,Jan Evangelista Zelinka
15594,1944-03-29,The Kiss,Bedřich Smetana
15595,1944-03-31,Il barbiere di Siviglia,Gioacchino Rossini
15596,1944-04-01,The Devil’s Wall,Bedřich Smetana
15597,1944-04-02,The Kiss,Bedřich Smetana
15598,1944-04-02,Paličatý švec,Jan Evangelista Zelinka
15599,1944-04-03,The Devil’s Wall,Bedřich Smetana
15600,1944-04-05,The Devil’s Wall,Bedřich Smetana
15601,1944-04-09,The Bartered Bride,Bedřich Smetana
15602,1944-04-09,Paličatý švec,Jan Evangelista Zelinka
15603,1944-04-10,The Devil’s Wall,Bedřich Smetana
15604,1944-04-11,Madama Butterfly,Giacomo Puccini
15605,1944-04-13,Paličatý švec,Jan Evangelista Zelinka
15606,1944-04-14,Eva,Josef Bohuslav Foerster
15607,1944-04-15,The Bartered Bride,Bedřich Smetana
15608,1944-04-15,The Secret,Bedřich Smetana
15609,1944-04-16,Bagdadský lazebník,Peter Cornelius
15610,1944-04-16,Carmen,Georges Bizet
15611,1944-04-17,The Secret,Bedřich Smetana
15612,1944-04-18,Paličatý švec,Jan Evangelista Zelinka
15613,1944-04-20,The Secret,Bedřich Smetana
15614,1944-04-21,The Kiss,Bedřich Smetana
15615,1944-04-22,The Kiss,Bedřich Smetana
15616,1944-04-22,Eva,Josef Bohuslav Foerster
15617,1944-04-23,The Devil’s Wall,Bedřich Smetana
15618,1944-04-24,Madama Butterfly,Giacomo Puccini
15619,1944-04-25,The Secret,Bedřich Smetana
15620,1944-04-26,La Traviata,Giuseppe Verdi
15621,1944-04-27,Armida,Antonín Dvořák
15622,1944-04-29,The Two Widows,Bedřich Smetana
15623,1944-04-29,Čarostřelec,Carl Maria von Weber
15624,1944-04-30,La Traviata,Giuseppe Verdi
15625,1944-04-30,Armida,Antonín Dvořák
15626,1944-05-01,The Bartered Bride,Bedřich Smetana
15627,1944-05-02,The Bartered Bride,Bedřich Smetana
15628,1944-05-03,Poupě,Otakar Ostrčil
15629,1944-05-03,V studni,Vilém Blodek
15630,1944-05-04,The Devil and Kate,Antonín Dvořák
15631,1944-05-06,The Bartered Bride,Bedřich Smetana
15632,1944-05-06,Cesta oknem,Karel Kovařovic
15633,1944-05-06,Zvíkovský rarášek,Vítězslav Novák
15634,1944-05-07,Šelma sedlák,Antonín Dvořák
15635,1944-05-07,Paličatý švec,Jan Evangelista Zelinka
15636,1944-05-08,Dalibor,Bedřich Smetana
15637,1944-05-09,Hipolyta,Jaroslav Křička
15638,1944-05-10,Cesta oknem,Karel Kovařovic
15639,1944-05-10,Zvíkovský rarášek,Vítězslav Novák
15640,1944-05-12,The Two Widows,Bedřich Smetana
15641,1944-05-13,The Kiss,Bedřich Smetana
15642,1944-05-13,Zvíkovský rarášek,Vítězslav Novák
15643,1944-05-13,V studni,Vilém Blodek
15644,1944-05-14,The Devil and Kate,Antonín Dvořák
15645,1944-05-15,The Kiss,Bedřich Smetana
15646,1944-05-16,Dalibor,Bedřich Smetana
15647,1944-05-17,The Bartered Bride,Bedřich Smetana
15648,1944-05-18,Rusalka,Antonín Dvořák
15649,1944-05-20,Rusalka,Antonín Dvořák
15650,1944-05-21,The Two Widows,Bedřich Smetana
15651,1944-05-21,The Secret,Bedřich Smetana
15652,1944-05-22,Messinská nevěsta,Zdeněk Fibich
15653,1944-05-23,The Devil’s Wall,Bedřich Smetana
15654,1944-05-25,Rusalka,Antonín Dvořák
15655,1944-05-26,Šárka,Zdeněk Fibich
15656,1944-05-27,The Secret,Bedřich Smetana
15657,1944-05-27,Dědův odkaz,Vítězslav Novák
15658,1944-05-28,Viola,Bedřich Smetana
15659,1944-05-28,Viola,Bedřich Smetana
15660,1944-05-28,The Kiss,Bedřich Smetana
15661,1944-05-28,The Devil’s Wall,Bedřich Smetana
15662,1944-05-29,The Bartered Bride,Bedřich Smetana
15663,1944-05-29,Eva,Josef Bohuslav Foerster
15664,1944-05-30,The Kiss,Bedřich Smetana
15665,1944-05-31,Jenůfa,Leoš Janáček
15666,1944-06-02,La Traviata,Giuseppe Verdi
15667,1944-06-03,The Bartered Bride,Bedřich Smetana
15668,1944-06-03,Jenůfa,Leoš Janáček
15669,1944-06-04,Bagdadský lazebník,Peter Cornelius
15670,1944-06-04,Rusalka,Antonín Dvořák
15671,1944-06-05,The Secret,Bedřich Smetana
15672,1944-06-06,Zvíkovský rarášek,Vítězslav Novák
15673,1944-06-06,V studni,Vilém Blodek
15674,1944-06-07,Orfeus a Eurydika,Christoph Willibald Gluck
15675,1944-06-09,Bagdadský lazebník,Peter Cornelius
15676,1944-06-10,Zvíkovský rarášek,Vítězslav Novák
15677,1944-06-10,V studni,Vilém Blodek
15678,1944-06-10,Madama Butterfly,Giacomo Puccini
15679,1944-06-11,The Bartered Bride,Bedřich Smetana
15680,1944-06-11,Eva,Josef Bohuslav Foerster
15681,1944-06-12,La Bohéme,Giacomo Puccini
15682,1944-06-13,Orfeus a Eurydika,Christoph Willibald Gluck
15683,1944-06-14,Poupě,Otakar Ostrčil
15684,1944-06-14,Tvrdé palice,Antonín Dvořák
15685,1944-06-15,Carmen,Georges Bizet
15686,1944-06-17,Jenůfa,Leoš Janáček
15687,1944-06-17,The Secret,Bedřich Smetana
15688,1944-06-18,Čarostřelec,Carl Maria von Weber
15689,1944-06-19,Troubadour,Giuseppe Verdi
15690,1944-06-20,Dědův odkaz,Vítězslav Novák
15691,1944-06-21,The Kiss,Bedřich Smetana
15692,1944-06-22,Bouře,Zdeněk Fibich
15693,1944-06-24,Šárka,Zdeněk Fibich
15694,1944-06-24,Troubadour,Giuseppe Verdi
15695,1944-06-25,Dalibor,Bedřich Smetana
15696,1944-06-26,Maškarní ples,Giuseppe Verdi
15697,1944-06-27,Veselé ženy windsorské,Otto Nicolai
15698,1944-06-29,The Kiss,Bedřich Smetana
15699,1944-06-30,Veselé ženy windsorské,Otto Nicolai
15700,1944-07-01,Madama Butterfly,Giacomo Puccini
15701,1944-07-01,Zvíkovský rarášek,Vítězslav Novák
15702,1944-07-01,V studni,Vilém Blodek
15703,1944-07-02,Jenůfa,Leoš Janáček
15704,1944-07-03,The Secret,Bedřich Smetana
15705,1944-07-05,Bludný Holanďan,Richard Wagner
15706,1944-07-06,Veselé ženy windsorské,Otto Nicolai
15707,1944-07-07,The Devil and Kate,Antonín Dvořák
15708,1944-07-08,The Kiss,Bedřich Smetana
15709,1944-07-08,La Traviata,Giuseppe Verdi
15710,1944-07-09,Troubadour,Giuseppe Verdi
15711,1944-07-10,Veselé ženy windsorské,Otto Nicolai
15712,1944-07-11,Madama Butterfly,Giacomo Puccini
15713,1944-07-12,The Bartered Bride,Bedřich Smetana
15714,1943-08-14,Madama Butterfly,Giacomo Puccini
15715,1943-08-18,La Traviata,Giuseppe Verdi
15716,1943-08-19,Madama Butterfly,Giacomo Puccini
15717,1943-08-23,Troubadour,Giuseppe Verdi
15718,1943-08-29,The Kiss,Bedřich Smetana
15719,1943-08-29,La Traviata,Giuseppe Verdi
15720,1943-09-01,V studni,Vilém Blodek
15721,1943-09-01,I Pagliacci,Ruggiero Leoncavallo
15722,1943-09-03,La Bohéme,Giacomo Puccini
15723,1943-09-06,La Bohéme,Giacomo Puccini
15724,1943-09-10,La Traviata,Giuseppe Verdi
15725,1943-09-11,Marta,Friedrich von Flotow
15726,1943-09-13,Marta,Friedrich von Flotow
15727,1943-09-18,Madama Butterfly,Giacomo Puccini
15728,1943-09-21,La Traviata,Giuseppe Verdi
15729,1943-09-28,Maškarní ples,Giuseppe Verdi
15730,1943-09-29,V studni,Vilém Blodek
15731,1943-09-29,I Pagliacci,Ruggiero Leoncavallo
15732,1943-10-01,La Bohéme,Giacomo Puccini
15733,1943-10-02,Tvrdé palice,Antonín Dvořák
15734,1943-10-02,V studni,Vilém Blodek
15735,1943-10-04,Marta,Friedrich von Flotow
15736,1943-10-06,The Kiss,Bedřich Smetana
15737,1943-10-11,La Traviata,Giuseppe Verdi
15738,1943-10-16,Tvrdé palice,Antonín Dvořák
15739,1943-10-16,I Pagliacci,Ruggiero Leoncavallo
15740,1943-10-21,Marta,Friedrich von Flotow
15741,1943-10-23,V studni,Vilém Blodek
15742,1943-10-23,Tvrdé palice,Antonín Dvořák
15743,1943-10-25,V studni,Vilém Blodek
15744,1943-10-25,I Pagliacci,Ruggiero Leoncavallo
15745,1943-10-26,Rigoletto,Giuseppe Verdi
15746,1943-10-28,The Kiss,Bedřich Smetana
15747,1943-11-07,La Bohéme,Giacomo Puccini
15748,1943-11-08,La Traviata,Giuseppe Verdi
15749,1943-11-15,Tvrdé palice,Antonín Dvořák
15750,1943-11-15,V studni,Vilém Blodek
15751,1943-11-17,The Kiss,Bedřich Smetana
15752,1943-11-21,The Kiss,Bedřich Smetana
15753,1943-11-23,Troubadour,Giuseppe Verdi
15754,1943-11-27,Troubadour,Giuseppe Verdi
15755,1943-11-27,Madama Butterfly,Giacomo Puccini
15756,1943-12-04,The Kiss,Bedřich Smetana
15757,1943-12-07,Nížina,Eugen d´ Albert
15758,1943-12-12,The Kiss,Bedřich Smetana
15759,1943-12-22,Madama Butterfly,Giacomo Puccini
15760,1943-12-29,Nížina,Eugen d´ Albert
15761,1943-12-31,Šelma sedlák,Antonín Dvořák
15762,1944-01-04,V studni,Vilém Blodek
15763,1944-01-04,Tvrdé palice,Antonín Dvořák
15764,1944-01-22,Šelma sedlák,Antonín Dvořák
15765,1944-01-30,Šelma sedlák,Antonín Dvořák
15766,1944-02-03,Marta,Friedrich von Flotow
15767,1944-02-05,Marta,Friedrich von Flotow
15768,1944-02-16,Madama Butterfly,Giacomo Puccini
15769,1944-08-18,The Bartered Bride,Bedřich Smetana
15770,1944-08-19,Veselé ženy windsorské,Otto Nicolai
15771,1944-08-20,The Kiss,Bedřich Smetana
15772,1944-08-20,Eva,Josef Bohuslav Foerster
15773,1944-08-21,Bagdadský lazebník,Peter Cornelius
15774,1944-08-22,I Pagliacci,Ruggiero Leoncavallo
15775,1944-08-22,Cavalleria rusticana,Pietro Mascagni
15776,1944-08-23,Zvíkovský rarášek,Vítězslav Novák
15777,1944-08-23,V studni,Vilém Blodek
15778,1944-08-25,Cavalleria rusticana,Pietro Mascagni
15779,1944-08-25,I Pagliacci,Ruggiero Leoncavallo
15780,1944-08-26,Veselé ženy windsorské,Otto Nicolai
15781,1944-08-26,The Two Widows,Bedřich Smetana
15782,1944-08-27,The Bartered Bride,Bedřich Smetana
15783,1944-08-27,Carmen,Georges Bizet
15784,1944-08-28,Bludný Holanďan,Richard Wagner
15785,1944-08-29,Šárka,Zdeněk Fibich
15786,1944-08-31,The Secret,Bedřich Smetana
15787,1945-05-13,The Bartered Bride,Bedřich Smetana
15788,1945-05-14,The Bartered Bride,Bedřich Smetana
15789,1945-05-27,Libuše,Bedřich Smetana
15790,1945-05-29,Libuše,Bedřich Smetana
15791,1945-05-31,Libuše,Bedřich Smetana
15792,1945-06-02,The Bartered Bride,Bedřich Smetana
15793,1945-06-04,Libuše,Bedřich Smetana
15794,1945-06-06,The Bartered Bride,Bedřich Smetana
15795,1945-06-07,The Kiss,Bedřich Smetana
15796,1945-06-08,The Two Widows,Bedřich Smetana
15797,1945-06-10,The Kiss,Bedřich Smetana
15798,1945-06-16,The Bartered Bride,Bedřich Smetana
15799,1945-06-17,Libuše,Bedřich Smetana
15800,1945-06-18,The Bartered Bride,Bedřich Smetana
15801,1945-06-20,Dráteník,František Škroup
15802,1945-06-21,The Kiss,Bedřich Smetana
15803,1945-06-23,Tvrdé palice,Antonín Dvořák
15804,1945-06-23,V studni,Vilém Blodek
15805,1945-06-25,Tvrdé palice,Antonín Dvořák
15806,1945-06-25,V studni,Vilém Blodek
15807,1945-06-26,The Bartered Bride,Bedřich Smetana
15808,1945-06-27,Dalibor,Bedřich Smetana
15809,1945-06-29,Dalibor,Bedřich Smetana
15810,1945-07-01,Dalibor,Bedřich Smetana
15811,1945-07-02,Dalibor,Bedřich Smetana
15812,1945-07-03,V studni,Vilém Blodek
15813,1945-07-03,Tvrdé palice,Antonín Dvořák
15814,1945-07-05,Šelma sedlák,Antonín Dvořák
15815,1945-07-06,Libuše,Bedřich Smetana
15816,1945-07-07,The Kiss,Bedřich Smetana
15817,1945-07-08,Šelma sedlák,Antonín Dvořák
15818,1945-07-09,Dráteník,František Škroup
15819,1945-07-10,The Bartered Bride,Bedřich Smetana
15820,1945-07-11,Šelma sedlák,Antonín Dvořák
15821,1945-07-13,Dalibor,Bedřich Smetana
15822,1945-07-14,The Two Widows,Bedřich Smetana
15823,1945-06-19,Dráteník,František Škroup
15824,1945-06-22,Dráteník,František Škroup
15825,1945-06-24,Dráteník,František Škroup
15826,1945-06-28,Dráteník,František Škroup
15827,1945-06-30,The Two Widows,Bedřich Smetana
15828,1945-07-04,Dráteník,František Škroup
15829,1945-07-12,Dráteník,František Škroup
15830,1945-04-01,The Two Widows,Bedřich Smetana
15831,1945-04-05,The Two Widows,Bedřich Smetana
15832,1945-04-08,The Two Widows,Bedřich Smetana
15833,1945-04-12,The Kiss,Bedřich Smetana
15834,1945-04-14,The Kiss,Bedřich Smetana
15835,1945-04-18,The Kiss,Bedřich Smetana
15836,1945-04-20,The Bartered Bride,Bedřich Smetana
15837,1945-04-22,The Bartered Bride,Bedřich Smetana
15838,1945-04-28,The Bartered Bride,Bedřich Smetana
15839,1945-04-29,Il barbiere di Siviglia,Gioacchino Rossini
15840,1945-05-02,Il barbiere di Siviglia,Gioacchino Rossini
15841,1945-05-03,The Kiss,Bedřich Smetana
15842,1945-05-04,The Kiss,Bedřich Smetana
15843,1945-08-12,Dráteník,František Škroup
15844,1945-08-13,Dráteník,František Škroup
15845,1945-08-14,The Bartered Bride,Bedřich Smetana
15846,1945-08-15,Dalibor,Bedřich Smetana
15847,1945-08-16,The Kiss,Bedřich Smetana
15848,1945-08-17,Dráteník,František Škroup
15849,1945-08-18,Libuše,Bedřich Smetana
15850,1945-08-19,Šelma sedlák,Antonín Dvořák
15851,1945-08-20,Poupě,Otakar Ostrčil
15852,1945-08-21,Dalibor,Bedřich Smetana
15853,1945-08-22,Poupě,Otakar Ostrčil
15854,1945-08-23,The Bartered Bride,Bedřich Smetana
15855,1945-08-24,Dráteník,František Škroup
15856,1945-08-25,The Bartered Bride,Bedřich Smetana
15857,1945-08-26,The Two Widows,Bedřich Smetana
15858,1945-08-27,Zvíkovský rarášek,Vítězslav Novák
15859,1945-08-27,V studni,Vilém Blodek
15860,1945-08-28,The Bartered Bride,Bedřich Smetana
15861,1945-08-29,Zvíkovský rarášek,Vítězslav Novák
15862,1945-08-29,V studni,Vilém Blodek
15863,1945-08-30,Šelma sedlák,Antonín Dvořák
15864,1945-08-31,Poupě,Otakar Ostrčil
15865,1945-09-01,Šárka,Zdeněk Fibich
15866,1945-09-02,Dalibor,Bedřich Smetana
15867,1945-09-03,Šárka,Zdeněk Fibich
15868,1945-09-04,Zvíkovský rarášek,Vítězslav Novák
15869,1945-09-04,V studni,Vilém Blodek
15870,1945-09-05,Šárka,Zdeněk Fibich
15871,1945-09-06,The Kiss,Bedřich Smetana
15872,1945-09-09,Braniboři v Čechách,Bedřich Smetana
15873,1945-09-10,The Bartered Bride,Bedřich Smetana
15874,1945-09-11,Braniboři v Čechách,Bedřich Smetana
15875,1945-09-14,Braniboři v Čechách,Bedřich Smetana
15876,1945-09-15,Zvíkovský rarášek,Vítězslav Novák
15877,1945-09-17,Zvíkovský rarášek,Vítězslav Novák
15878,1945-09-17,Poupě,Otakar Ostrčil
15879,1945-09-18,Dalibor,Bedřich Smetana
15880,1945-09-20,Šárka,Zdeněk Fibich
15881,1945-09-21,The Bartered Bride,Bedřich Smetana
15882,1945-09-23,Messinská nevěsta,Zdeněk Fibich
15883,1945-09-25,Braniboři v Čechách,Bedřich Smetana
15884,1945-09-26,Messinská nevěsta,Zdeněk Fibich
15885,1945-09-27,The Bartered Bride,Bedřich Smetana
15886,1945-09-28,Šárka,Zdeněk Fibich
15887,1945-09-29,The Bartered Bride,Bedřich Smetana
15888,1945-09-30,Messinská nevěsta,Zdeněk Fibich
15889,1945-10-01,The Kiss,Bedřich Smetana
15890,1945-10-02,The Kiss,Bedřich Smetana
15891,1945-10-04,Dalibor,Bedřich Smetana
15892,1945-10-05,The Kiss,Bedřich Smetana
15893,1945-10-06,The Bartered Bride,Bedřich Smetana
15894,1945-10-06,Messinská nevěsta,Zdeněk Fibich
15895,1945-10-07,The Kiss,Bedřich Smetana
15896,1945-10-07,The Bartered Bride,Bedřich Smetana
15897,1945-10-08,Braniboři v Čechách,Bedřich Smetana
15898,1945-10-09,Zvíkovský rarášek,Vítězslav Novák
15899,1945-10-10,Poupě,Otakar Ostrčil
15900,1945-10-10,V studni,Vilém Blodek
15901,1945-10-11,The Bartered Bride,Bedřich Smetana
15902,1945-10-13,The Bartered Bride,Bedřich Smetana
15903,1945-10-14,V studni,Vilém Blodek
15904,1945-10-14,Tvrdé palice,Antonín Dvořák
15905,1945-10-14,Šárka,Zdeněk Fibich
15906,1945-10-15,Messinská nevěsta,Zdeněk Fibich
15907,1945-10-16,Lantern,Vítězslav Novák
15908,1945-10-18,Lantern,Vítězslav Novák
15909,1945-10-19,The Kiss,Bedřich Smetana
15910,1945-10-20,The Two Widows,Bedřich Smetana
15911,1945-10-20,The Bartered Bride,Bedřich Smetana
15912,1945-10-21,Dalibor,Bedřich Smetana
15913,1945-10-22,Libuše,Bedřich Smetana
15914,1945-10-23,The Kiss,Bedřich Smetana
15915,1945-10-24,The Bartered Bride,Bedřich Smetana
15916,1945-10-26,The Bartered Bride,Bedřich Smetana
15917,1945-10-28,The Kiss,Bedřich Smetana
15918,1945-10-28,Libuše,Bedřich Smetana
15919,1945-10-29,Šárka,Zdeněk Fibich
15920,1945-10-31,The Two Widows,Bedřich Smetana
15921,1945-11-01,Dalibor,Bedřich Smetana
15922,1945-11-02,Braniboři v Čechách,Bedřich Smetana
15923,1945-11-03,Šárka,Zdeněk Fibich
15924,1945-11-05,Rusalka,Antonín Dvořák
15925,1945-11-06,Libuše,Bedřich Smetana
15926,1945-11-08,Rusalka,Antonín Dvořák
15927,1945-11-10,Rusalka,Antonín Dvořák
15928,1945-11-11,Šelma sedlák,Antonín Dvořák
15929,1945-11-11,The Bartered Bride,Bedřich Smetana
15930,1945-11-12,The Kiss,Bedřich Smetana
15931,1945-11-13,The Kiss,Bedřich Smetana
15932,1945-11-15,Libuše,Bedřich Smetana
15933,1945-11-16,Šárka,Zdeněk Fibich
15934,1945-11-17,Šelma sedlák,Antonín Dvořák
15935,1945-11-17,Rusalka,Antonín Dvořák
15936,1945-11-18,The Two Widows,Bedřich Smetana
15937,1945-11-18,The Bartered Bride,Bedřich Smetana
15938,1945-11-19,Messinská nevěsta,Zdeněk Fibich
15939,1945-11-20,The Kiss,Bedřich Smetana
15940,1945-11-22,Dalibor,Bedřich Smetana
15941,1945-11-23,Lantern,Vítězslav Novák
15942,1945-11-24,The Kiss,Bedřich Smetana
15943,1945-11-25,Šelma sedlák,Antonín Dvořák
15944,1945-11-25,Zvíkovský rarášek,Vítězslav Novák
15945,1945-11-25,Poupě,Otakar Ostrčil
15946,1945-11-27,The Bartered Bride,Bedřich Smetana
15947,1945-11-28,Lantern,Vítězslav Novák
15948,1945-11-29,Rusalka,Antonín Dvořák
15949,1945-11-30,Braniboři v Čechách,Bedřich Smetana
15950,1945-12-01,Dráteník,František Škroup
15951,1945-12-02,Tvrdé palice,Antonín Dvořák
15952,1945-12-02,V studni,Vilém Blodek
15953,1945-12-02,The Bartered Bride,Bedřich Smetana
15954,1945-12-03,Dalibor,Bedřich Smetana
15955,1945-12-04,Zvíkovský rarášek,Vítězslav Novák
15956,1945-12-06,Lantern,Vítězslav Novák
15957,1945-12-08,Rusalka,Antonín Dvořák
15958,1945-12-08,The Bartered Bride,Bedřich Smetana
15959,1945-12-09,Libuše,Bedřich Smetana
15960,1945-12-10,Rusalka,Antonín Dvořák
15961,1945-12-12,Boris Godunov,Modest Petrovič Musorgskij
15962,1945-12-14,The Kiss,Bedřich Smetana
15963,1945-12-15,The Bartered Bride,Bedřich Smetana
15964,1945-12-16,Eva,Josef Bohuslav Foerster
15965,1945-12-18,Boris Godunov,Modest Petrovič Musorgskij
15966,1945-12-20,Lantern,Vítězslav Novák
15967,1945-12-21,Zvíkovský rarášek,Vítězslav Novák
15968,1945-12-21,Poupě,Otakar Ostrčil
15969,1945-12-22,The Kiss,Bedřich Smetana
15970,1945-12-22,Eva,Josef Bohuslav Foerster
15971,1945-12-25,The Kiss,Bedřich Smetana
15972,1945-12-25,Eva,Josef Bohuslav Foerster
15973,1945-12-26,The Bartered Bride,Bedřich Smetana
15974,1945-12-26,Rusalka,Antonín Dvořák
15975,1945-12-28,Boris Godunov,Modest Petrovič Musorgskij
15976,1945-12-29,The Bartered Bride,Bedřich Smetana
15977,1945-12-29,Eva,Josef Bohuslav Foerster
15978,1945-12-30,Braniboři v Čechách,Bedřich Smetana
15979,1945-12-31,The Bartered Bride,Bedřich Smetana
15980,1946-01-01,The Two Widows,Bedřich Smetana
15981,1946-01-01,The Kiss,Bedřich Smetana
15982,1946-01-03,The Bartered Bride,Bedřich Smetana
15983,1946-01-04,Eva,Josef Bohuslav Foerster
15984,1946-01-05,The Bartered Bride,Bedřich Smetana
15985,1946-01-05,Rusalka,Antonín Dvořák
15986,1946-01-07,Eva,Josef Bohuslav Foerster
15987,1946-01-09,V studni,Vilém Blodek
15988,1946-01-09,Poupě,Otakar Ostrčil
15989,1946-01-10,Lantern,Vítězslav Novák
15990,1946-01-12,Zvíkovský rarášek,Vítězslav Novák
15991,1946-01-12,Tvrdé palice,Antonín Dvořák
15992,1946-01-12,Dalibor,Bedřich Smetana
15993,1946-01-13,Dráteník,František Škroup
15994,1946-01-13,Braniboři v Čechách,Bedřich Smetana
15995,1946-01-14,Šárka,Zdeněk Fibich
15996,1946-01-15,Zvíkovský rarášek,Vítězslav Novák
15997,1946-01-15,Poupě,Otakar Ostrčil
15998,1946-01-17,Boris Godunov,Modest Petrovič Musorgskij
15999,1946-01-18,Eva,Josef Bohuslav Foerster
16000,1946-01-20,Šelma sedlák,Antonín Dvořák
16001,1946-01-20,Libuše,Bedřich Smetana
