,Work,Theatre,City,country,date
293,The Marriage of Figaro,Sport and Cultural Centre,Warren,NSW,2011-03-13
294,The Marriage of Figaro,The Prince of Wales Opera House,Gulgong,NSW,2011-03-12
295,The Marriage of Figaro,Cowra Japanese Gardens,Cowra,NSW,2011-03-11
296,The Marriage of Figaro,Cootamundra Town Hall,Cootamundra,NSW,2011-03-09
297,The Marriage of Figaro,Paradise Palladium Theatre,Morundah,NSW,2011-03-06
298,The Marriage of Figaro,Casterton Town Hall,Casterton,VIC,2011-03-04
300,The Giacomo Variations,Concert Hall (Sydney Opera House),Sydney,NSW,2011-01-20
301,Another Lament,Armadale,Armadale,VIC,2010-12-16
302,The Cockatoos,Trades Hall New Ballroom,Carlton South ,VIC,2010-12-09
303,L'anima del filosofo: Orpheus & Eurydice,City Recital Hall,Sydney,NSW,2010-12-01
304,Pagliacci,Moonta Mines Museum,Moonta,SA,2010-11-25
305,The Itch,Elwood,Elwood,VIC,2010-11-18
306,Hansel and Gretel,Festival Theatre,Adelaide,SA,2010-11-06
307,"Tomorrow, In A Year",State Theatre,Melbourne,VIC,2010-10-20
308,Maria de Buenos Aires,Dunstan Playhouse,Adelaide,SA,2010-10-15
309,Richter/Meinhof-Opera,Australian Centre for Contemporary Art,Southbank ,VIC,2010-10-14
310,Target,La Mama,Carlton,VIC,2010-10-11
311,Pecan Summer,Westside Performing Arts Centre,Mooroopna,VIC,2010-10-08
312,La Boheme,Norseman Town Hall,Norseman,WA,2010-09-17
314,The Pomegranate Cycle,Metro Arts,Brisbane,QLD,2010-09-16
315,La Boheme,Denmark Recreation Centre,Denmark,WA,2010-09-12
316,The Marriage of Figaro,Eagle Farm Racecourse,Ascot,QLD,2010-09-11
317,The Pearl Fishers (Les Pecheurs de Perles),Festival Theatre,Adelaide,SA,2010-09-11
319,La Boheme,The Amphitheatre,Darwin,NT,2010-08-20
320,Exile,BMW Edge,Melbourne,VIC,2010-08-11
321,Pagliacci,His Majesty's Theatre,Perth,WA,2010-08-07
322,Cavalleria Rusticana,His Majesty's Theatre,Perth,WA,2010-08-07
323,Cantonese Opera Delights 2010,The Playhouse,Darwin,NT,2010-08-07
324,Aida,Festival Theatre,Adelaide,SA,2010-07-31
325,The Threepenny Opera,Merlyn Theatre,Southbank,VIC,2010-05-28
326,Fledermaus,State Theatre,Melbourne,VIC,2010-05-11
327,La Boheme,Rymill Hall,Penola,SA,2010-05-06
328,Merrie England,Chapel Off Chapel,Prahran,VIC,2010-04-30
329,Bliss,State Theatre,Melbourne,VIC,2010-04-20
330,La Boheme,The Street Theatre,Acton,ACT,2010-04-20
331,Tosca,Victorian Arts Centre,Melbourne,VIC,2010-04-14
332,Carmen,His Majesty's Theatre,Perth,WA,2010-04-13
333,La Boheme,Qantas Founders Museum,Longreach,QLD,2010-04-03
334,Bliss,Opera Theatre (Sydney Opera House),Sydney,NSW,2010-03-12
336,The Mikado,Supreme Court Gardens,Perth,WA,2010-03-06
337,Le Grand Macabre,Festival Theatre,Adelaide,SA,2010-02-26
338,The Damnation of Faust,Hamer Hall,Melbourne,VIC,2010-02-19
340,Peter Grimes,His Majesty's Theatre,Perth,WA,2010-02-09
341,Leonard Bernstein's Candide,Domain,Sydney,NSW,2010-01-30
342,Oedipus Rex & Symphony of Psalms,Concert Hall (Sydney Opera House),Sydney,NSW,2010-01-28
343,Kimisis - Falling Asleep,Peacock Theatre,Hobart,TAS,2010-01-22
344,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,2010-01-22
345,Manon,Opera Theatre (Sydney Opera House),Sydney,NSW,2010-01-15
346,Tosca,Opera Theatre (Sydney Opera House),Sydney,NSW,2010-01-08
347,Tosca,Geelong Performing Arts Centre,Geelong,VIC,2009-12-01
348,L'Ormindo,City Recital Hall,Sydney,NSW,2009-12-01
349,Aida,State Theatre,Melbourne,VIC,2009-11-17
350,Tosca,Theatre Royal,Hobart,TAS,2009-11-14
351,The Flying Dutchman,Festival Theatre,Adelaide,SA,2009-11-07
352,The Girl of the Golden West,His Majesty's Theatre,Perth,WA,2009-10-27
353,Tosca,Canberra Theatre,Canberra,ACT,2009-10-17
354,Rigoletto,Lyric Theatre,South Brisbane,QLD,2009-10-17
355,Peter Grimes,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-10-15
357,Medea,State Theatre,Melbourne,VIC,2009-10-09
358,Madame Butterfly,Octagon Theatre,Crawley,WA,2009-10-01
359,Miracle in Brisbane,Judith Wright Centre of Contempory Arts,Fortitude Valley,QLD,2009-10-01
360,Tosca,Athenaeum Theatre,Melbourne,VIC,2009-09-30
361,Stoneleigh Opera At Brookfield,Brookfield Showgrounds,Brookfield,QLD,2009-09-27
362,The Magic Flute,University of Newcastle Conservatorium. Concert Hall ,Newcastle,NSW,2009-09-18
364,Cosi Fan Tutte,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-09-17
365,The Hoop Of The World,The Loft,Kelvin Grove,QLD,2009-09-16
366,Madame Butterfly,J D Hardie Centre,South Hedland,WA,2009-09-05
367,Sydney Symphony,Concert Hall (Sydney Opera House),Sydney,NSW,2009-09-03
368,The Girl of the Golden West,Festival Theatre,Adelaide,SA,2009-08-29
369,Madame Butterfly,The Playhouse,Darwin,NT,2009-08-29
370,Cantonese Opera Delights,The Playhouse,Darwin,NT,2009-08-15
371,Xerxes,Elisabeth Murdoch Hall,Southbank,VIC,2009-08-13
372,The Capulets and The Montagues,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-08-11
373,The Pearl Fishers,His Majesty's Theatre,Perth,WA,2009-08-08
374,Poppea,Drama Theatre (Sydney Opera House),Sydney,NSW,2009-08-06
375,La Sonnambula,Glen Street Theatre,Frenchs Forest,NSW,2009-07-31
377,Fidelio,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-07-30
378,Ariadne auf Naxos,Playhouse,Melbourne,VIC,2009-07-21
379,Manon Lescaut,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-07-15
380,Fidelio,Conservatorium Theatre,South Bank,QLD,2009-07-11
381,Aida,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-07-07
382,The Tales of Hoffman,Festival Theatre,Adelaide,SA,2009-07-04
383,Baroque Masterpieces : Dido and Aeneas / Acis and Galatea,Opera Theatre (Sydney Opera House),Sydney,NSW,2009-06-27
384,La Traviata,Lyric Theatre,South Brisbane,QLD,2009-05-16
