,country,city,composer,work,venue,dates,dates_url
9025,Germany,Dresden,Donizetti,Lucia di Lammermoor,Semperoper Dresden,"18, 22, 25, 29 November, 8, 22 December 2017, 28, 31 March, 6 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=drelucia1117
9026,Germany,Mannheim,"Strauss, R",Der Rosenkavalier,Nationaltheater Mannheim,"19, 30 November 2017, 13, 21 January, 18 February 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=mhmrosenk1117
9027,Germany,Gelsenkirchen,Eggert,Teufels Küche,Musiktheater im Revier,"19(m), 21(m), 22(m), 23(m) November, 4(m), 5(m), 9(m), 17(m), 18(m), 19(m) December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=gelteufel1117
9028,Germany,Wiesbaden,Wagner,Tannhäuser,Hessisches Staatstheater Wiesbaden,"19, 24 November, 3, 17 December 2017, 10, 28 January, 30 March, 27 May, 30 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=wietannha1117
9029,Germany,Hamburg,Berg,Wozzeck,Hamburg State Opera,"19, 22, 25 November, 1 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hamwozzec1117
9030,Germany,Nürnberg,Mozart,Die Zauberflöte,Staatstheater Nürnberg,"24 November, 1, 3(m), 10(m), 15, 23, 28 December 2017, 10, 16, 23 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=nrbzauber1117
9031,Germany,Hamburg,Mozart,Die Zauberflöte,Hamburg State Opera,"24, 26, 29, 30 November, 3(m), 3, 5, 7 December 2017, 6(m), 8, 10 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hamzauber1117
9032,Germany,Berlin,Svoboda,Der unglaubliche Spotz,Staatsoper Unter den Linden,"24, 26(m), 26(m), 28(m), 29(m) November, 2(m), 2, 3(m), 5(m), 6(m), 6(m), 9(m), 9, 10(m), 12(m), 13(m), 16(m), 16, 19(m), 20(m) December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=linunglau1117
9033,Germany,Leipzig,Donizetti,Lucia di Lammermoor,Oper Leipzig,"25 November, 26 December 2017, 4 February, 3 March, 1 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=lpzlucia1117
9034,Germany,Düsseldorf,Humperdinck,Hansel und Gretel,Deutsche Oper am Rhein,"25 November, 9, 15, 19, 22, 25, 27 December 2017, 2, 5, 14 January 2018 (Düsseldorf & Duisburg)",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=dushansel1117
9035,Germany,Mainz,Greiffenhagen,Die Comedian Harmonists,Staatstheater Mainz,"25 November, 8, 10, 17, 26 December 2017, 8 January, 4, 24 February, 10 March 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=mnzcomedi1117
9036,Germany,Braunschweig,Cage,Europeras,Staatstheater Braunschweig,"25, 29 November, 8, 29 December 2017, 20 January, 23, 24 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bsgeurope1117
9037,Germany,Mannheim,Leoncavallo,Pagliacci,Nationaltheater Mannheim,"10 December 2016, 26 November 2017, 14, 26 January, 23 March, 15 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=mhmpag1117
9038,Germany,Mannheim,Mascagni,Cavalleria Rusticana,Nationaltheater Mannheim,"26 November, 10 December 2017, 14, 26 January, 23 March, 15 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=mhmcav1117
9039,Germany,Berlin,Meyerbeer,Le prophète,Deutsche Oper Berlin,"26, 30 November, 3, 9, 16 December 2017, 4, 7 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=dobprophe1117
9040,Germany,Cologne,"Strauss, J",Die Fledermaus,Oper Köln,"26, 30 November, 2, 6, 8, 10, 14, 16, 20, 22, 25, 27, 29, 31 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=cgnfleder1117
9041,Germany,Frankfurt,Verdi,I Vespri Siciliani,Oper Frankfurt,"26, 30 November, 3, 9, 16 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=fravespri1117
9042,Germany,Munich,Verdi,Simon Boccanegra,Bavarian State Opera,"26, 30 November, 3 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bsosimon1117
9043,Germany,Heidelberg,Porpora,Mitridate,Theater und Orchester Heidelberg,"29 November, 8, 10, 16, 19, 28 December 2017, 11, 13, 15, 28 January, 9 February 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=heipormit1117
9044,Germany,Munich,Giordano,Andrea Chenier,Bavarian State Opera,"29 November, 2, 5, 8 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bsoandrea1117
9045,Germany,Rostock,Kálmán,Die Csárdásfürstin,Volkstheater Rostock,"1, 3(m), 7(m), 16, 23, 25 December 2017, 1, 5 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=rskcsarda1217
9046,Germany,Chemnitz,Humperdinck,Hansel und Gretel,Theater Chemnitz,"1, 10(m), 10, 11(m), 17(m), 17, 18(m), 23(m), 23, 25(m), 25 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=chzhansel1217
9047,Germany,Wiesbaden,Puccini,La bohème,Hessisches Staatstheater Wiesbaden,"1, 6, 9, 22, 26 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=wieboheme1217
9048,Germany,Leipzig,Baum,The Wizard of Oz,Oper Leipzig,"1, 2(m), 3(m), 5(m), 21(m), 22, 23(m), 25 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=lpzwizard1217
9049,Germany,Mainz,Benatzky,Im Weissen Rössl,Staatstheater Mainz,"2, 16, 28 December 2017, 6, 20 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=mnzweisse1217
9050,Germany,Chemnitz,Verdi,Un Ballo in Maschera,Theater Chemnitz,"2, 8, 15 December 2017, 14(m), 27 January, 17 March, 8(m) April, 10 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=chzballo1217
