,composer,date_of_birth,date_of_death,country,composer_url
4364,Stewart Wallace,1960-11-21,2200-01-01,United States of America,http://www.wikidata.org/entity/Q724690
4365,Tan Dun,1957-08-18,2200-01-01,People's Republic of China,http://www.wikidata.org/entity/Q314176
4370,Teizo Matsumura,1929-01-15,2007-08-06,Japan,http://www.wikidata.org/entity/Q2401031
4371,Terence Blanchard,1962-03-13,2200-01-01,United States of America,http://www.wikidata.org/entity/Q967230
4372,Thea Musgrave,1928-05-27,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q539794
4378,Theobaldo di Gatti,1650-01-01,1727-08-01,Italy,http://www.wikidata.org/entity/Q3523647
4379,Theodor Bradsky,1833-01-17,1881-08-10,Czech Republic,http://www.wikidata.org/entity/Q2417393
4380,Thomas Adès,1971-03-01,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q439572
4383,Thomas Arne,1710-03-12,1778-03-05,United Kingdom,http://www.wikidata.org/entity/Q309709
4428,Thomas Attwood,1765-11-23,1838-03-24,United Kingdom,http://www.wikidata.org/entity/Q2422110
4432,Thomas Dunhill,1877-02-01,1946-03-13,United Kingdom,http://www.wikidata.org/entity/Q706498
4434,Thomas German Reed,1817-06-27,1888-03-21,United Kingdom,http://www.wikidata.org/entity/Q7789995
4435,Thomas Linley the elder,1733-01-17,1795-11-19,United Kingdom,http://www.wikidata.org/entity/Q339929
4436,Thomas Pasatieri,1945-10-20,2200-01-01,United States of America,http://www.wikidata.org/entity/Q2426455
4438,Tigran Chukhajian,1837-01-01,1898-03-23,Turkey,http://www.wikidata.org/entity/Q1382028
4442,Tikhon Khrennikov,1913-06-10,2007-08-14,Russia,http://www.wikidata.org/entity/Q367830
4445,Tom Johnson,1939-11-18,2200-01-01,United States of America,http://www.wikidata.org/entity/Q1364087
4446,Tomaso Albinoni,1671-06-08,1751-01-17,Italy,http://www.wikidata.org/entity/Q174606
4491,Tommaso Giordani,1733-01-01,1806-02-23,Italy,http://www.wikidata.org/entity/Q718406
4494,Tommaso Traetta,1727-03-30,1779-04-06,Italy,http://www.wikidata.org/entity/Q266084
4500,Tomás de Torrejón y Velasco,1644-12-23,1728-04-23,Spain,http://www.wikidata.org/entity/Q324306
4501,Toshio Hosokawa,1955-10-23,2200-01-01,Japan,http://www.wikidata.org/entity/Q1483651
4502,Toussaint Bertin de la Doué,1680-01-01,1743-02-06,France,http://www.wikidata.org/entity/Q3535647
4505,Tuomas Kantelinen,1969-09-22,2200-01-01,Finland,http://www.wikidata.org/entity/Q1888492
4506,Udo Zimmermann,1943-10-06,2200-01-01,Germany,http://www.wikidata.org/entity/Q561954
4512,Ulysses Kay,1917-01-07,1995-05-20,United States of America,http://www.wikidata.org/entity/Q463708
4513,Umberto Giordano,1867-08-28,1948-11-12,Italy,http://www.wikidata.org/entity/Q294826
4524,Unsuk Chin,1961-07-14,2200-01-01,South Korea,http://www.wikidata.org/entity/Q272236
4526,Uzeyir Hajibeyov,1885-09-18,1948-11-23,Azerbaijan,http://www.wikidata.org/entity/Q317397
4534,Valentino Fioravanti,1764-09-11,1837-06-16,Italy,http://www.wikidata.org/entity/Q537653
4541,Vano Muradeli,1908-04-06,1970-08-14,Georgia,http://www.wikidata.org/entity/Q2194365
4543,Vasif Adigozalov,1935-07-28,2006-01-01,Azerbaijan,http://www.wikidata.org/entity/Q2476007
4544,Vatroslav Lisinski,1819-07-08,1854-05-31,Croatia,http://www.wikidata.org/entity/Q1277066
4546,Vicente Martín y Soler,1754-03-05,1806-02-10,Spain,http://www.wikidata.org/entity/Q377409
4547,Vicente Martín y Soler,1754-03-05,1806-02-11,Spain,http://www.wikidata.org/entity/Q377409
4548,Vicente Martín y Soler,1754-03-05,1806-03-03,Spain,http://www.wikidata.org/entity/Q377409
4549,Vicente Martín y Soler,1754-05-02,1806-02-10,Spain,http://www.wikidata.org/entity/Q377409
4550,Vicente Martín y Soler,1754-05-02,1806-02-11,Spain,http://www.wikidata.org/entity/Q377409
4551,Vicente Martín y Soler,1754-05-02,1806-03-03,Spain,http://www.wikidata.org/entity/Q377409
4576,Victor Dolidze,1890-07-30,1933-05-24,Georgia,http://www.wikidata.org/entity/Q2663412
4577,Victor Herbert,1859-02-01,1924-05-26,Ireland,http://www.wikidata.org/entity/Q1275145
4593,Victor Jacobi,1883-10-22,1921-12-10,Hungary,http://www.wikidata.org/entity/Q722724
4594,Victor Massé,1822-03-07,1884-07-05,France,http://www.wikidata.org/entity/Q1382004
4595,Victor Massé,1822-04-07,1884-07-05,France,http://www.wikidata.org/entity/Q1382004
4600,Victor Rasgado,1959-01-01,2200-01-01,Mexico,http://www.wikidata.org/entity/Q2536171
4601,Victor de Sabata,1892-04-10,1967-12-11,Italy,http://www.wikidata.org/entity/Q464890
4602,Victorin de Joncières,1839-04-12,1903-10-26,France,http://www.wikidata.org/entity/Q724933
4603,Viktor Nessler,1841-01-28,1890-05-28,France,http://www.wikidata.org/entity/Q205990
4604,Viktor Ullmann,1898-01-01,1944-10-18,Czech Republic,http://www.wikidata.org/entity/Q78530
4605,Viliam Figuš-Bystrý,1875-02-28,1937-05-11,Slovakia,http://www.wikidata.org/entity/Q438631
4606,Vincent Scotto,1874-04-21,1952-11-15,France,http://www.wikidata.org/entity/Q3083168
4607,Vincent d'Indy,1851-03-27,1931-12-02,France,http://www.wikidata.org/entity/Q313584
4608,Vincent d'Indy,1851-03-27,1931-12-03,France,http://www.wikidata.org/entity/Q313584
4611,Vincenzo Bellini,1801-11-03,1835-09-23,Italy,http://www.wikidata.org/entity/Q170209
4622,Vincenzo Fabrizi,1764-01-01,1812-01-01,Italy,http://www.wikidata.org/entity/Q1082162
4623,Vincenzo Fioravanti,1799-04-05,1877-03-28,Italy,http://www.wikidata.org/entity/Q3507615
4626,Vincenzo Legrenzio Ciampi,1719-04-02,1762-03-30,Italy,http://www.wikidata.org/entity/Q589761
4627,Vincenzo Pucitta,1778-02-17,1861-12-20,Italy,http://www.wikidata.org/entity/Q1163726
4628,Vincenzo Tommasini,1878-09-17,1950-12-23,Italy,http://www.wikidata.org/entity/Q4013555
4629,Violeta Dinescu,1953-07-13,2200-01-01,Romania,http://www.wikidata.org/entity/Q274781
4630,Virgil Thomson,1896-11-25,1989-09-30,United States of America,http://www.wikidata.org/entity/Q544485
4633,Vissarion Shebalin,1902-06-11,1963-05-28,Russia,http://www.wikidata.org/entity/Q504286
4634,Vitalij Kyrejko,1926-12-23,2016-10-19,Ukraine,http://www.wikidata.org/entity/Q12109890
4635,Vitaliy Hubarenko,1934-06-13,2000-05-05,Ukraine,http://www.wikidata.org/entity/Q6524346
4636,Vittorio Giannini,1903-10-19,1966-11-28,United States of America,http://www.wikidata.org/entity/Q1348509
4637,Vladimir Deshevov,1889-02-11,1955-10-27,Russia,http://www.wikidata.org/entity/Q2587302
4638,Vladimir Fere,1902-05-20,1971-09-02,Russia,http://www.wikidata.org/entity/Q7938325
4639,Vladimir Vlasov,1903-01-07,1986-09-07,Russia,http://www.wikidata.org/entity/Q2577026
4640,Vytautas Klova,1926-01-31,2009-12-10,Lithuania,http://www.wikidata.org/entity/Q2468065
4641,Václav Trojan,1907-04-24,1983-07-05,Czech Republic,http://www.wikidata.org/entity/Q2616291
4642,Vítězslav Novák,1870-12-05,1949-07-18,Czech Republic,http://www.wikidata.org/entity/Q347611
4646,W. Franke Harling,1887-01-18,1958-11-22,United Kingdom,http://www.wikidata.org/entity/Q331123
4647,Walter Braunfels,1882-12-19,1954-03-19,Germany,http://www.wikidata.org/entity/Q703469
4652,Walter Damrosch,1862-01-30,1950-12-22,Poland,http://www.wikidata.org/entity/Q725579
4655,Walter Goetze,1883-04-17,1961-03-24,Germany,http://www.wikidata.org/entity/Q2546790
4658,Walter Kaufmann,1907-04-01,1984-09-09,Czech Republic,http://www.wikidata.org/entity/Q872245
4660,Wenzel Müller,1767-09-26,1835-08-03,Czech Republic,http://www.wikidata.org/entity/Q725210
4661,Werner Egk,1901-05-17,1983-07-10,Germany,http://www.wikidata.org/entity/Q458775
4668,Wilhelm Kienzl,1857-01-17,1941-10-03,Austria,http://www.wikidata.org/entity/Q637353
4671,Wilhelm Stenhammar,1871-02-07,1927-11-20,Sweden,http://www.wikidata.org/entity/Q435688
4672,Will Meisel,1897-09-17,1967-04-29,Germany,http://www.wikidata.org/entity/Q1701369
4673,William Alwyn,1905-11-07,1985-09-11,United Kingdom,http://www.wikidata.org/entity/Q541685
4674,William Bolcom,1938-05-26,2200-01-01,United States of America,http://www.wikidata.org/entity/Q710714
4681,William Furst,1852-03-25,1917-07-11,United States of America,http://www.wikidata.org/entity/Q8009487
4682,William Michael Rooke,1794-09-29,1847-10-14,Ireland,http://www.wikidata.org/entity/Q8015607
4683,William Vincent Wallace,1812-03-11,1865-10-12,Ireland,http://www.wikidata.org/entity/Q2245188
4686,Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,Austria,http://www.wikidata.org/entity/Q254
4711,Wolfgang Fortner,1907-10-02,1987-09-05,Germany,http://www.wikidata.org/entity/Q694204
4712,Wolfgang Fortner,1907-10-12,1987-09-05,Germany,http://www.wikidata.org/entity/Q694204
4717,Wolfgang Rihm,1952-03-13,2200-01-01,Germany,http://www.wikidata.org/entity/Q77031
4720,Władysław Żeleński,1837-07-06,1921-01-23,Poland,http://www.wikidata.org/entity/Q1391004
4722,Xavier Leroux,1863-10-11,1919-02-02,Italy,http://www.wikidata.org/entity/Q323589
4723,Xavier Montsalvatge,1912-03-11,2002-05-07,Spain,http://www.wikidata.org/entity/Q535320
4724,Yasushi Akutagawa,1925-07-12,1989-01-31,Japan,http://www.wikidata.org/entity/Q424173
4725,Yevstigney Fomin,1761-08-16,1800-04-28,Russia,http://www.wikidata.org/entity/Q728905
4726,Yuliy Meitus,1903-01-28,1997-04-02,Ukraine,http://www.wikidata.org/entity/Q4289181
4729,Yuri Shaporin,1887-11-08,1966-12-09,Ukraine,http://www.wikidata.org/entity/Q963055
4730,Zagir Ismagilov,1917-01-08,2003-05-30,Russia,http://www.wikidata.org/entity/Q4204075
4736,Zakaria Paliashvili,1871-08-16,1933-10-06,Georgia,http://www.wikidata.org/entity/Q732613
4737,Zbyněk Vostřák,1920-06-10,1985-08-04,Czech Republic,http://www.wikidata.org/entity/Q168320
4741,Zdeněk Blažek,1905-05-24,1988-06-19,Czech Republic,http://www.wikidata.org/entity/Q10857493
4742,Zdeněk Fibich,1850-12-21,1900-10-15,Czech Republic,http://www.wikidata.org/entity/Q117110
4749,Zdeněk Folprecht,1900-01-26,1961-10-29,Czech Republic,http://www.wikidata.org/entity/Q168978
4750,Zulfugar Hajibeyov,1884-04-17,1950-09-30,Azerbaijan,http://www.wikidata.org/entity/Q2351779
4751,Élisabeth Jacquet de La Guerre,1665-03-17,1729-06-27,France,http://www.wikidata.org/entity/Q57704
4752,Étienne Méhul,1763-06-22,1817-10-18,France,http://www.wikidata.org/entity/Q364020
4771,"Мшвелидзе, Шалва Михайлович",1904-08-10,1984-01-01,Georgia,http://www.wikidata.org/entity/Q4309226
4772,Халик Шакирович Заимов,1914-11-13,1977-02-09,Russia,http://www.wikidata.org/entity/Q15066763
