,composer,complete_name,dates,uri,work
1709,Stefani,Jan Stefani,(1746–1829),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stefani,Cud mniemany 
1710,Bocharov,Vladimir Bocharov,"
 Russian composer and +. compositeur et + russe. compositore e + russo. russischer Komponist und +.",http://operabase.com/visual.cgi??lang=en&is=opera&by=Bocharov,Morozko [c]
1711,Tuzun,Ferit Tüzün,(1929–1977),http://operabase.com/visual.cgi??lang=en&is=opera&by=Tuzun,Midas'in Kulaklari 
1712,Zaufke,Thomas Zaufke,(b.1966),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zaufke,Cinderella passt was nicht [c]
1713,Zaufke,Thomas Zaufke,(b.1966),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zaufke,Babytalk 
1714,Vaage,Knut Vaage,(b.1961),http://operabase.com/visual.cgi??lang=en&is=opera&by=Vaage,Nokon kjem til a komme 
1715,Vaage,Knut Vaage,(b.1961),http://operabase.com/visual.cgi??lang=en&is=opera&by=Vaage,Khairos 
1716,Reich,Steve Reich,(b.1936),http://operabase.com/visual.cgi??lang=en&is=opera&by=Reich,Three Tales 
1717,Reich,Steve Reich,(b.1936),http://operabase.com/visual.cgi??lang=en&is=opera&by=Reich,The Cave 
1718,Weinberger,Jaromír Weinberger,(1896–1967),http://operabase.com/visual.cgi??lang=en&is=opera&by=Weinberger,Svanda Dudak 
1719,Blacher,Boris Blacher,(1903–1975),http://operabase.com/visual.cgi??lang=en&is=opera&by=Blacher,Romeo und Julia 
1720,Blacher,Boris Blacher,(1903–1975),http://operabase.com/visual.cgi??lang=en&is=opera&by=Blacher,Die Nachtschwalbe 
1721,Conradi,Johann Georg Conradi,(1645–1699),http://operabase.com/visual.cgi??lang=en&is=opera&by=Conradi,Die schone und getreue Ariadne 
1722,Stabler,Gerhard Stäbler,(b.1949),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stabler,Simon [c]
1723,Stabler,Gerhard Stäbler,(b.1949),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stabler,Erlost Albert E. 
1724,Stabler,Gerhard Stäbler,(b.1949),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stabler,The Colour 
1725,Auerbach,Lera Auerbach,(b.1973),http://operabase.com/visual.cgi??lang=en&is=opera&by=Auerbach,The Blind 
1726,Manotskov,Alexander Manotskov,(b.1972),http://operabase.com/visual.cgi??lang=en&is=opera&by=Manotskov,Titus the Irreproachable 
1727,Campo,Régis Campo,(b.1968),http://operabase.com/visual.cgi??lang=en&is=opera&by=Campo,Quai Ouest 
1728,Alfano,Franco Alfano,(1875–1954),http://operabase.com/visual.cgi??lang=en&is=opera&by=Alfano,Sakuntala 
1729,Alfano,Franco Alfano,(1875–1954),http://operabase.com/visual.cgi??lang=en&is=opera&by=Alfano,Cyrano de Bergerac 
1730,Zhurbin,Alexander Zhurbin,(b.1945),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zhurbin,Little Demon 
1731,Zhurbin,Alexander Zhurbin,(b.1945),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zhurbin,Love's Metamorphosis 
1732,Friml,Rudolf Friml,(1879–1972),http://operabase.com/visual.cgi??lang=en&is=opera&by=Friml,Rose-Marie 
1733,Fairouz,Mohammed Fairouz,(b.1985),http://operabase.com/visual.cgi??lang=en&is=opera&by=Fairouz,The New Prince 
1734,Fairouz,Mohammed Fairouz,(b.1985),http://operabase.com/visual.cgi??lang=en&is=opera&by=Fairouz,Sumeida's Song 
1735,Fairouz,Mohammed Fairouz,(b.1985),http://operabase.com/visual.cgi??lang=en&is=opera&by=Fairouz,The Dictator's Wife 
1736,Adwan,Moneim Adwan,(b.1970),http://operabase.com/visual.cgi??lang=en&is=opera&by=Adwan,Kalila wa Dimna 
1737,Szokolay,Sándor Szokolay,(1931–2013),http://operabase.com/visual.cgi??lang=en&is=opera&by=Szokolay,Vernasz 
1738,Szokolay,Sándor Szokolay,(1931–2013),http://operabase.com/visual.cgi??lang=en&is=opera&by=Szokolay,Blood Wedding 
1739,Casella,Alfredo Casella,(1883–1947),http://operabase.com/visual.cgi??lang=en&is=opera&by=Casella,La donna serpente 
1740,Casella,Alfredo Casella,(1883–1947),http://operabase.com/visual.cgi??lang=en&is=opera&by=Casella,La favola di Orfeo 
1741,De Rose,Mario De Rose,(b.1958),http://operabase.com/visual.cgi??lang=en&is=opera&by=De Rose,Et nunc et semper 
1742,Marzocchi,Paolo Marzocchi,(b.1971),http://operabase.com/visual.cgi??lang=en&is=opera&by=Marzocchi,Il viaggio di Roberto 
1743,Nikodijevic,Marko Nikodijević,(b.1980),http://operabase.com/visual.cgi??lang=en&is=opera&by=Nikodijevic,Vivier 
1744,Minkov,Mark Minkov,(1944–2012),http://operabase.com/visual.cgi??lang=en&is=opera&by=Minkov,The Magic Music 
1745,Minkov,Mark Minkov,(1944–2012),http://operabase.com/visual.cgi??lang=en&is=opera&by=Minkov,Adventures in Opera Country [c]
1746,Bedford,Luke Bedford,(b.1978),http://operabase.com/visual.cgi??lang=en&is=opera&by=Bedford,Seven Angels 
1747,Bedford,Luke Bedford,(b.1978),http://operabase.com/visual.cgi??lang=en&is=opera&by=Bedford,Through His Teeth 
1748,Chauls,Robert Chauls,(b.1942),http://operabase.com/visual.cgi??lang=en&is=opera&by=Chauls,Alice in Wonderland [c]
1749,Dohnanyi,Ernő Dohnányi,(1877–1960),http://operabase.com/visual.cgi??lang=en&is=opera&by=Dohnanyi,A Tenor 
1750,Bloch,Ernest Bloch,(1880–1959),http://operabase.com/visual.cgi??lang=en&is=opera&by=Bloch,Macbeth 
1751,Sallinen,Aulis Sallinen,(b.1935),http://operabase.com/visual.cgi??lang=en&is=opera&by=Sallinen,Kullervo 
1752,Sallinen,Aulis Sallinen,(b.1935),http://operabase.com/visual.cgi??lang=en&is=opera&by=Sallinen,Castle in the Water 
1753,Mazzoli,Missy Mazzoli,(b.1980),http://operabase.com/visual.cgi??lang=en&is=opera&by=Mazzoli,Song from the Uproar 
1754,Mazzoli,Missy Mazzoli,(b.1980),http://operabase.com/visual.cgi??lang=en&is=opera&by=Mazzoli,Breaking the Waves 
1755,Cage,John Cage,(1912–1992),http://operabase.com/visual.cgi??lang=en&is=opera&by=Cage,Listen to the Silence 
1756,Cage,John Cage,(1912–1992),http://operabase.com/visual.cgi??lang=en&is=opera&by=Cage,Europeras III and IV 
1757,Cage,John Cage,(1912–1992),http://operabase.com/visual.cgi??lang=en&is=opera&by=Cage,Europeras I and II 
1758,Harbison,John Harbison,(b.1938),http://operabase.com/visual.cgi??lang=en&is=opera&by=Harbison,The Great Gatsby 
1759,Antunes,Jorge Antunes,(b.1942),http://operabase.com/visual.cgi??lang=en&is=opera&by=Antunes,A Cartomante 
