,clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
1922,"Golob, ",Golob,1948.0,,Slovenia,Male,operabase,Golob,
1923,"Golovanov, Nikolay","Golovanov, Nikolay (Semyonovich)",1891.0,1953.0,Russia,,opera.stanford,,"Golovanov, Nikolay (Semyonovich)"
1924,"Gomes de Araújo, João","Gomes de Araújo, João",1846.0,1942.0,Brazil,,opera.stanford,,"Gomes de Araújo, João"
1925,"Gomes, ",Gomes ,1836.0,1896.0,Brazil,Male,operabase,Gomes,"Gomes, (Antônio) Carlos"
1926,"Gomis y Colomer, José Melchor","Gomis y Colomer, José Melchor",1791.0,1836.0,Spain,,opera.stanford,,"Gomis y Colomer, José Melchor"
1927,"Goodman, Alfred","Goodman [Guttmann], Alfred (Grant)",1920.0,1999.0,Germany,,opera.stanford,,"Goodman [Guttmann], Alfred (Grant)"
1928,"Goosens,","Goosens,",,,United Kingdom,,opera.stanford,,"Goosens,"
1929,"Gorb, ",Gorb,1958.0,,United Kingdom,Male,operabase,Gorb,
1930,"Gordigiani, Giovanni Battista","Gordigiani, Giovanni Battista",1795.0,1871.0,Italy,,opera.stanford,,"Gordigiani, Giovanni Battista"
1931,"Gordigiani, Luigi","Gordigiani, Luigi",1806.0,1860.0,Italy,,opera.stanford,,"Gordigiani, Luigi"
1932,"GordonM, ",GordonM,1956.0,,United States,Male,operabase,GordonM,
1933,"GordonR, ",GordonR,1956.0,,United States,Male,operabase,GordonR,
1934,"Goss,","Goss,",,,United Kingdom,,opera.stanford,,"Goss,"
1935,"Gossec, François-Joseph","Gossec, François-Joseph",1734.0,1829.0,Belgium,,opera.stanford,Gossec,"Gossec, François-Joseph"
1936,"Gotovac, Jakov","Gotovac, Jakov",1895.0,1982.0,Croatia,,opera.stanford,Gotovac,"Gotovac, Jakov"
1937,"Gottlieb, Jack","Gottlieb, Jack",1930.0,,United States,,opera.stanford,,"Gottlieb, Jack"
1938,"Gottschalk, Louis Moreau","Gottschalk, Louis Moreau",1829.0,1869.0,United States,,opera.stanford,,"Gottschalk, Louis Moreau"
1939,"Gough, ",Gough,1953.0,,United Kingdom,Male,operabase,Gough,
1940,"Gounod, Charles","Gounod, Charles (François)",1818.0,1893.0,France,,opera.stanford,Gounod,"Gounod, Charles (François)"
1941,"Gouvy, Louis Théodore","Gouvy, Louis Théodore",1819.0,1898.0,Belgium,,opera.stanford,,"Gouvy, Louis Théodore"
1942,"Grädener, Carl","Grädener, Carl (Georg Peter)",1812.0,1883.0,Germany,,opera.stanford,,"Grädener, Carl (Georg Peter)"
1943,"Grädener, Hermann","Grädener, Hermann (Theodor Otto)",1844.0,1929.0,Germany,,opera.stanford,,"Grädener, Hermann (Theodor Otto)"
1944,"Gräfe, Johann Friedrich","Gräfe, Johann Friedrich",1711.0,1787.0,Germany,,opera.stanford,,"Gräfe, Johann Friedrich"
1945,"Grétry, André-Ernest-Modeste","Grétry, André-Ernest-Modeste",1741.0,1813.0,Belgium,,opera.stanford,,"Grétry, André-Ernest-Modeste"
1946,"Grétry, Lucille","Grétry, Lucille [Angélique-Dorothée-Lucie]",1772.0,1790.0,France,,opera.stanford,,"Grétry, Lucille [Angélique-Dorothée-Lucie]"
1947,"Grünewald, Gottfried","Grünewald [Grunewald], Gottfried",1675.0,1739.0,Germany,,opera.stanford,,"Grünewald [Grunewald], Gottfried"
