"","work_x","composer_x","work_key"
"5729","Little Red Riding Hood","Barab","Q6651499"
"3086","Little Women","Adamo","Q6652566"
"10048","Lizzie Borden","Beeson","Q6660681"
"11757","Lohengrin","Wagner","Q6667986"
"11756","Lohengrin","Wagner","Q23085"
"41730","Louise","Charpentier","Q286488"
"1644","Lucia di Lammermoor","Donizetti","Q244209"
"6792","Lucio Silla","Mozart","Q943913"
"19180","Lucrezia Borgia","Donizetti","Q685501"
"1842","Luisa Miller","Verdi","Q545265"
"15896","Lulu","Berg","Q837545"
"15897","Lulu","Berg","Q20108390"
"8589","Macbeth","Bloch","Q320363"
"1899","Macbeth","Verdi","Q21197472"
"8590","Macbeth","Bloch","Q21197472"
"1898","Macbeth","Verdi","Q320363"
"859","Madama Butterfly","Puccini","Q19005"
"2890","Manon","Massenet","Q842063"
"466","Manon Lescaut","Puccini","Q751371"
"467","Manon Lescaut","Puccini","Q459341"
"12105","Maometto II","Rossini","Q1417349"
"43857","Marco Polo","Dun","Q6757680"
"19367","Margaret Garner","Danielpour","Q6759437"
"19294","Maria Padilla","Donizetti","Q756150"
"6091","Maria Stuarda","Donizetti","Q377685"
"6092","Maria Stuarda","Donizetti","Q3847534"
"2342","Maria di Rohan","Donizetti","Q732789"
"17720","Marina","Arrieta","Q9029060"
"36044","Marino Faliero","Donizetti","Q914165"
"59426","Martha","von Flotow","Q168488"
"51453","Masquerade","Nielsen","Q55064701"
"42506","May Night","Rimsky-Korsakov","Q260296"
"24878","Mazeppa","Tchaikovsky","Q1081440"
"57606","McTeague","Bolcom","Q17064770"
"1821","Medea","Cherubini","Q577758"
"33194","Medea","Bennett","Q577758"
"791","Mefistofele","Boito","Q935669"
"27772","Mignon","Thomas","Q657595"
"37446","Mitridate, re di Ponto","Mozart","Q62338"
"523","Moby-Dick","Heggie","Q3317708"
"32128","Moses und Aron","Schönberg","Q1661920"
"16110","Mosè in Egitto","Rossini","Q583156"
"18343","Motezuma","Vivaldi","Q11937446"
"18342","Motezuma","Vivaldi","Q1949643"
"18344","Motezuma","Vivaldi","Q6917206"
"1222","Nabucco","Verdi","Q202230"
"33040","Nicholas and Alexandra","Drattell","Q48772833"
"4871","Nixon in China","Adams","Q1146706"
"221","Norma","Bellini","Q320353"
"2913","Noye's Fludde","Britten","Q1218977"
"38180","Oberto","Verdi","Q636873"
"61213","Oedipus","Rihm","Q54990926"
"31681","Oedipus rex","Stravinsky","Q1891546"
"4265","Of Mice and Men","Floyd","Q8012905"
"24750","Orazi e Curiazi","Mercadante","Q3884892"
"7062","Orfeo","Monteverdi","Q3885598"
"7063","Orfeo","Monteverdi","Q1118131"
"1221","Orfeo ed Euridice","Gluck","Q3885615"
"106","Orlando","Handel","Q946701"
"35330","Orlando Paladino","Haydn","Q910595"
"1462","Orpheus and Eurydice","Gluck","Q4337231"
"1463","Orpheus and Eurydice","Gluck","Q723776"
"3000","Orpheus in the Underworld","Offenbach","Q1137065"
"8995","Orphée","Glass","Q16930565"
"8996","Orphée","Glass","Q3356654"
"12461","Orphée et Euridice","Gluck","Q48651132"
"149","Otello","Verdi","Q172324"
"8213","Otello","Rossini","Q172324"
"8212","Otello","Rossini","Q925332"
"148","Otello","Verdi","Q925332"
"4861","Our Town","Rorem","Q7111217"
"18034","Owen Wingrave","Britten","Q736246"
"786","Pagliacci","Leoncavallo","Q248644"
"2262","Parsifal","Wagner","Q220340"
"8282","Partenope","Handel","Q954048"
"4073","Patience","Sullivan","Q3897647"
"26464","Paul Bunyan","Britten","Q736746"
"625","Pelléas et Mélisande","Debussy","Q368019"
"10238","Peter Grimes","Britten","Q780331"
"13959","Phaedra","Henze","Q2084699"
"2029","Piramo e Tisbe","Hasse","Q7197704"
"21818","Platée","Rameau","Q1376222"
"44432","Poliuto","Donizetti","Q240295"
"1145","Porgy and Bess","Gershwin","Q740920"
"9208","Postcard from Morocco","Argento","Q3909450"
"6326","Powder Her Face","Adès","Q7235981"
"18573","Prima la musica e poi le parole","Salieri","Q370008"
"9443","Prince Igor","Borodin","Q275354"
"9442","Prince Igor","Borodin","Q55064700"
"19663","Radamisto","Handel","Q1713359"
"14","Regina","Blitzstein","Q1431923"
"16","Regina","Blitzstein","Q5494819"
"15","Regina","Blitzstein","Q54992356"
"36868","Resurrection","Machover","Q7316523"
"59352","Rienzi","Wagner","Q689441"
"204","Rigoletto","Verdi","Q189234"
"1768","Rinaldo","Handel","Q767249"
"22804","Rise and Fall of the City of Mahagonny","Weill","Q760054"
"15626","Rita","Donizetti","Q838597"
"1108","Roberto Devereux","Donizetti","Q672708"
"3625","Robin Hood","Moore","Q7352497"
"3624","Robin Hood","Moore","Q7352499"
"3623","Robin Hood","Moore","Q15617197"
"7912","Rodelinda","Handel","Q641095"
"10796","Rodrigo","Handel","Q1576427"
"22242","Romulus","Karchin","Q55064162"
"639","Roméo et Juliette","Gounod","Q918714"
"55861","Rose-Marie","Friml","Q2001175"
"105","Rusalka","Dvorák","Q729709"
"44384","Ruslan and Lyudmila","Glinka","Q522408"
"35041","Saint François d'Assise","Messiaen","Q2605813"
"2428","Salome","Strauss","Q723407"
"1758","Samson and Delilah","Saint-Saëns","Q753152"
"852","Satyagraha","Glass","Q3057300"
"6574","Savitri","Holst","Q3474583"
"2105","Semiramide","Rossini","Q8011706"
