"","composer","work","work_url"
"166","Cavalli","La Calisto","http://www.wikidata.org/entity/Q536064"
"167","Wagner","Gotterdammerung","http://www.wikidata.org/entity/Q272029"
"168","Poulenc","Dialogues des Carmélites","http://www.wikidata.org/entity/Q1208527"
"169","Rossini","William Tell","http://www.wikidata.org/entity/Q729659"
"170","Rossini","Count Ory","http://www.wikidata.org/entity/Q734560"
"171","Ravel","L'Heure espagnole","http://www.wikidata.org/entity/Q593319"
"172","Rossini","Ermione","http://www.wikidata.org/entity/Q936702"
"173","Weinberg","The Passenger","http://www.wikidata.org/entity/Q822967"
"174","Adams","Doctor Atomic","http://www.wikidata.org/entity/Q1233821"
"175","DiChiera","Cyrano","http://www.wikidata.org/entity/Q5200576"
"176","Davies","The Lighthouse","http://www.wikidata.org/entity/Q3521580"
"177","Korngold","Die tote Stadt","http://www.wikidata.org/entity/Q1219611"
"178","Catán","Florencia en el Amazonas (Florencia in the Amazon)","http://www.wikidata.org/entity/Q5460844"
"179","Mozart","Die Zauberflote","http://www.wikidata.org/entity/Q5064"
"180","Golijov","Ainadamar","http://www.wikidata.org/entity/Q4697384"
"181","Wagner","Die Meistersinger von Nürnberg","http://www.wikidata.org/entity/Q465540"
"182","Cilea","Adriana Lecouvreur","http://www.wikidata.org/entity/Q375063"
"183","Offenbach","La Périchole","http://www.wikidata.org/entity/Q730336"
"184","Poulenc","Les Mamelles de Tirésias","http://www.wikidata.org/entity/Q4692200"
"185","Krása","Brundibár","http://www.wikidata.org/entity/Q565663"
"186","Danielpour","Margaret Garner","http://www.wikidata.org/entity/Q6759437"
"187","Massenet","Thais","http://www.wikidata.org/entity/Q1144467"
"188","Blanchard","Champion","http://www.wikidata.org/entity/Q13554491"
"189","Adams","The Death of Klinghoffer","http://www.wikidata.org/entity/Q605920"
"190","Mozart","Lucio Silla","http://www.wikidata.org/entity/Q943913"
"191","Handel","Partenope","http://www.wikidata.org/entity/Q954048"
"192","Glass","The Fall of the House of Usher","http://www.wikidata.org/entity/Q3520831"
"193","Handel","Orlando","http://www.wikidata.org/entity/Q946701"
"194","Verdi","Giovanna d'Arco","http://www.wikidata.org/entity/Q757134"
