,work,date,language,work_url
24750,Fidelio,1998-11-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/6222
24751,Das Rheingold,1998-11-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11286
24752,Elektra,1998-12-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9189
24753,Der Freischütz,1998-12-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13150
24754,Fidelio,1998-12-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/6223
24755,Der fliegende Holländer,1998-12-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3954
24756,Der Freischütz,1998-12-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13153
24757,Der fliegende Holländer,1998-12-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3955
24758,Le Prophète,1998-12-08,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/8941
24759,Tosca,1998-12-11,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5475
24760,Le Prophète,1998-12-12,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/8940
24761,Aida,1998-12-13,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/193
24762,Ernani / Hernani,1998-12-14,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13028
24763,Le Prophète,1998-12-15,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/8942
24764,Aida,1998-12-16,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/194
24765,Ernani / Hernani,1998-12-18,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13346
24766,Le Prophète,1998-12-19,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/8943
24767,Aida,1998-12-20,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/195
24768,Mefistofele,1998-12-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13895
24769,Ernani / Hernani,1998-12-22,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13604
24770,Mefistofele,1998-12-25,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13898
