,work,composer,librettist,theatre,date
8782,Friends of Scottish Opera,,,Friends of Scottish Opera,2013-12-14
8783,Falstaff,Giuseppe Verdi,Arrigo Boito,"Belmont Picturehouse, Aberdeen",2013-12-14
8784,Falstaff,Giuseppe Verdi,Arrigo Boito,"Odeon Cinema, Dunfermline",2013-12-14
8785,Falstaff,Giuseppe Verdi,Arrigo Boito,"Cameo Picturehouse, Edinburgh",2013-12-14
8786,Falstaff,Giuseppe Verdi,Arrigo Boito,Cineworld Falkirk,2013-12-14
8787,Falstaff,Giuseppe Verdi,Arrigo Boito,Dundee Contemporary Arts (DCA),2013-12-14
8788,Falstaff,Giuseppe Verdi,Arrigo Boito,"Pavilion Cinema, Galashiels",2013-12-14
8789,Falstaff,Giuseppe Verdi,Arrigo Boito,Cineworld Glasgow Renfrew St,2013-12-14
8790,Falstaff,Giuseppe Verdi,Arrigo Boito,"Playhouse, Perth",2013-12-14
8791,Falstaff,Giuseppe Verdi,Arrigo Boito,"New Picture House, St Andrews",2013-12-14
8792,Platypus in Boots,Rachel Drury,Martin O'Connor,Eastwood Park Theatre,2013-12-15
8793,Platypus in Boots,Rachel Drury,Martin O'Connor,Eastwood Park Theatre,2013-12-15
8794,Platypus in Boots,Rachel Drury,Martin O'Connor,"Tolbooth, Stirling",2013-12-19
8795,Platypus in Boots,Rachel Drury,Martin O'Connor,"Tolbooth, Stirling",2013-12-19
8796,Parsifal,Richard Wagner,Richard Wagner,Cineworld Aberdeen,2013-12-18
8797,Parsifal,Richard Wagner,Richard Wagner,"Maltings Theatre, Berwick-upon-Tweed",2013-12-18
8798,Parsifal,Richard Wagner,Richard Wagner,Eden Court Theatre,2013-12-18
8799,Parsifal,Richard Wagner,Richard Wagner,Vue Aberdeen,2013-12-18
8800,Parsifal,Richard Wagner,Richard Wagner,Thurso Cinema,2013-12-18
8801,General,,,"Old Kirk, Kirkcaldy",2013-12-21
8802,General,,,Friends of Scottish Opera,2013-01-05
8803,General,,,Edinburgh Society of Musicians,2013-01-12
8804,General,,,"Holy Trinity Church, St Andrews",2014-01-17
8805,Clemenza di Tito,Wolfgang Amadeus Mozart,Caterino Mazzolà,Royal Conservatoire of Scotland,2014-01-18
8806,Clemenza di Tito,Wolfgang Amadeus Mozart,Caterino Mazzolà,Royal Conservatoire of Scotland,2014-01-20
8807,Clemenza di Tito,Wolfgang Amadeus Mozart,Caterino Mazzolà,Royal Conservatoire of Scotland,2014-01-24
8808,Clemenza di Tito,Wolfgang Amadeus Mozart,Caterino Mazzolà,Royal Conservatoire of Scotland,2014-01-25
8809,Clemenza di Tito,Wolfgang Amadeus Mozart,Caterino Mazzolà,Perth Concert Hall,2014-01-28
8810,General,,,Friends of Scottish Opera,2014-01-19
8811,General,,,Friends of Scottish Opera,2014-01-22
8812,General,,,Friends of Scottish Opera,2014-01-26
8813,General,,,Friends of Scottish Opera,2014-01-26
8814,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Theatre Royal, Glasgow",2014-01-24
8815,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Theatre Royal, Glasgow",2014-01-26
8816,Don Pasquale,Gaetano Donizetti,"Giovanni Ruffini
				Gaetano Donizetti","Theatre Royal, Glasgow",2014-01-29
