clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Kerpen,","Kerpen, ",,,Germany,,opera.stanford,,"Kerpen, "
"Kerr, Harrison","Kerr, Harrison",1897,1978,United States,,opera.stanford,,"Kerr, Harrison"
"Kersters, Willem","Kersters, Willem",1929,,Belgium,,opera.stanford,,"Kersters, Willem"
"Kersting, ",Kersting,1976,,Germany,Male,operabase,Kersting,
"Kessner, Daniel","Kessner, Daniel (Aaron)",1946,,United States,,opera.stanford,,"Kessner, Daniel (Aaron)"
"Ketèlbey, Albert","Ketèlbey, Albert (William)",1875,1959,United Kingdom,,opera.stanford,,"Ketèlbey, Albert (William)"
"Kettenus, Aloys","Kettenus, Aloys",1823,1870,Belgium,,opera.stanford,,"Kettenus, Aloys"
"Ketting, Otto","Ketting, Otto",1935,,Netherlands,,opera.stanford,,"Ketting, Otto"
"Keurvels, Edward","Keurvels, Edward (Hubertus Joannes)",1853,1916,Belgium,,opera.stanford,,"Keurvels, Edward (Hubertus Joannes)"
"Khachaturian, Karen","Khachaturian, Karen (Surenovich)",1920,,Russia,,opera.stanford,,"Khachaturian, Karen (Surenovich)"
"Khodzha-Einatov, Leon","Khodzha-Einatov, Leon",1904,1954,Georgia,,opera.stanford,,"Khodzha-Einatov, Leon"
"Kholminov, Alexander Nikolayevich","Kholminov, Alexander Nikolayevich",1925,,Russia,,opera.stanford,,"Kholminov, Alexander Nikolayevich"
"Khrennikov, Tikhon Nikolayevich","Khrennikov, Tikhon Nikolayevich",1913,2007,Russia,,opera.stanford,,"Khrennikov, Tikhon Nikolayevich"
"Kienlen, Johann Christoph","Kienlen, Johann Christoph",1783,1829,Germany,,opera.stanford,,"Kienlen, Johann Christoph"
"Kienzl, Wilhelm","Kienzl, Wilhelm",1857,1941,Austria,,opera.stanford,,"Kienzl, Wilhelm"
"Kiesewetter, Tomasz","Kiesewetter, Tomasz",1911,,Poland,,opera.stanford,,"Kiesewetter, Tomasz"
"Kiladze, Grigori","Kiladze, Grigori",1902,1962,Georgia,,opera.stanford,,"Kiladze, Grigori"
"Kilenyi, Edward","Kilenyi, Edward",1910,2000,United States,,opera.stanford,,"Kilenyi, Edward"
"Killmayr, Wilhelm","Killmayr, Wilhelm",1927,,Germany,,opera.stanford,,"Killmayr, Wilhelm"
"Kilpatrick, Jack","Kilpatrick, Jack (Frederick)",1915,1967,United States,,opera.stanford,,"Kilpatrick, Jack (Frederick)"
"Kim, Earl","Kim, Earl [Eul]",1920,1998,Jamaica,,opera.stanford,,"Kim, Earl [Eul]"
"Kimmerling, Robert","Kimmerling, Robert [Johannes Evangelist]",1737,1799,Austria,,opera.stanford,,"Kimmerling, Robert [Johannes Evangelist]"
"King, Matthew Peter","King, Matthew Peter",1773,1823,United Kingdom,,opera.stanford,,"King, Matthew Peter"
Kinkel,Kinkel [,,,France,,opera.stanford,,Kinkel [
"Király, Ernö","Király, Ernö",1919,,Serbia,,opera.stanford,,"Király, Ernö"
"Kirchner, Leon","Kirchner, Leon",1919,2009,United States,,opera.stanford,Kirchner,"Kirchner, Leon"
"Kistler, Cyrill","Kistler, Cyrill",1848,1907,Germany,,opera.stanford,,"Kistler, Cyrill"
"Kittl, Jan Bedrich","Kittl, Jan Bedrich [Johann Friedrich]",1806,1868,Russia,,opera.stanford,,"Kittl, Jan Bedrich [Johann Friedrich]"
