clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Tishchenko, Boris","Tishchenko, Boris (Ivanovich)",1939,,Russia,,opera.stanford,,"Tishchenko, Boris (Ivanovich)"
"Titl, Anton Emil","Titl, Anton Emil",1809,1882,Czechia,,opera.stanford,,"Titl, Anton Emil"
"Titov, Alexey Nikolayevich","Titov, Alexey Nikolayevich",1769,1827,Russia,,opera.stanford,,"Titov, Alexey Nikolayevich"
"Titov, Sergey Nikolayevich","Titov, Sergey Nikolayevich",1770,1825,Russia,,opera.stanford,,"Titov, Sergey Nikolayevich"
"Titus, Hiram","Titus, Hiram",1947,,United States,,opera.stanford,,"Titus, Hiram"
"Toch, Ernst","Toch, Ernst",1887,1964,Austria,,opera.stanford,Toch,"Toch, Ernst"
"Toda, Kunio","Toda, Kunio [Morikuni]",1915,,Japan,,opera.stanford,,"Toda, Kunio [Morikuni]"
"Todd, ",Todd,1970,,United Kingdom,Male,operabase,Todd,
"Toduta, Sigismund","Toduta, Sigismund",1908,1991,Romania,,opera.stanford,,"Toduta, Sigismund"
"Toeschi, Johann  Christoph","Toeschi [Toesca de Castellamonte; von Toeska], Johann (Baptist) [Maria] Christoph",1735,1800,Germany,,opera.stanford,,"Toeschi [Toesca de Castellamonte; von Toeska], Johann (Baptist) [Maria] Christoph"
"Toeschi, Karl Theodor","Toeschi [Toesca de Castellamonte; Toesca von Castellamonte], Karl Theodor",1768,1843,Germany,,opera.stanford,,"Toeschi [Toesca de Castellamonte; Toesca von Castellamonte], Karl Theodor"
"Tofft, Alfred","Tofft, Alfred",1865,1931,Denmark,,opera.stanford,,"Tofft, Alfred"
"TogniP, ",TogniP,1959,,Canada,Male,operabase,TogniP,
"Tolbecque, Auguste","Tolbecque, Auguste",1830,1919,France,,opera.stanford,,"Tolbecque, Auguste"
"Tolbecque, Jean-Baptiste-Joseph","Tolbecque, Jean-Baptiste-Joseph",1797,1869,Belgium,,opera.stanford,,"Tolbecque, Jean-Baptiste-Joseph"
"Toldr√°, Eduardo","Toldr√°, Eduardo",1895,1962,Spain,,opera.stanford,,"Toldr√°, Eduardo"
"Tolstoy, Dmitri","Tolstoy, Dmitri",1923,,Germany,,opera.stanford,,"Tolstoy, Dmitri"
"Tom√°s, Guillermo","Tom√°s, Guillermo",1868,1933,Cuba,,opera.stanford,,"Tom√°s, Guillermo"
"Tom√°sek, V√°clav Jan Krtitel","Tom√°sek [Tomaschek], V√°clav Jan Krtitel [Wenzel Johann]",1774,1850,Czechia,,opera.stanford,,"Tom√°sek [Tomaschek], V√°clav Jan Krtitel [Wenzel Johann]"
"Tomasi, Giovanni Battista","Tomasi, Giovanni Battista",1656,,Italy,,opera.stanford,,"Tomasi, Giovanni Battista"
"Tomasi, Henri","Tomasi, Henri (Fr√©dien)",1901,1971,France,,opera.stanford,,"Tomasi, Henri (Fr√©dien)"
"Tomeoni, Florido","Tomeoni, Florido",1755,1820,Italy,,opera.stanford,,"Tomeoni, Florido"
"Tomeoni, Pellegrino","Tomeoni, Pellegrino",1729,1816,Italy,,opera.stanford,,"Tomeoni, Pellegrino"
"Tommasini, Vincenzo","Tommasini, Vincenzo",1878,1950,Italy,,opera.stanford,,"Tommasini, Vincenzo"
"Tonelli, Antonio","Tonelli [De' Pietri], Antonio",1686,1765,Italy,,opera.stanford,,"Tonelli [De' Pietri], Antonio"
"Toni, Alceo","Toni, Alceo",1884,1969,Italy,,opera.stanford,,"Toni, Alceo"
"Tonning, Gerard","Tonning, Gerard",1860,1940,Norway,,opera.stanford,,"Tonning, Gerard"
"Toop, ",Toop,1949,,United Kingdom,Male,operabase,Toop,
"Toppinen, ",Toppinen,1975,,Finland,Male,operabase,Toppinen,
"Toradze, David","Toradze, David (Alexandrovich)",1922,,Georgia,,opera.stanford,,"Toradze, David (Alexandrovich)"
"Torke, Michael","Torke, Michael",1962,,United States,,opera.stanford,,"Torke, Michael"
"Torlez, ?","Torlez, ?",,,France,,opera.stanford,,"Torlez, ?"
"Tormis, Velio","Tormis, Velio",1930,,Estonia,,opera.stanford,,"Tormis, Velio"
"Torrance, George William","Torrance, George William",1835,1907,Ireland,,opera.stanford,,"Torrance, George William"
"Torrejon y Velasco, ",Torrejon y Velasco,1644,1728,Spain,Male,operabase,Torrejon y Velasco,"Torrej√≥n y Velasco, Tom√°s de"
"Torri, Pietro","Torri, Pietro",1650,1737,Italy,,opera.stanford,,"Torri, Pietro"
"Tosatti, Vieri","Tosatti, Vieri",1920,1999,Italy,,opera.stanford,,"Tosatti, Vieri"
"Toselli, Enrico","Toselli, Enrico",1883,1926,Italy,,opera.stanford,,"Toselli, Enrico"
"Tosi, Giuseppe Felice","Tosi, Giuseppe Felice",,,Italy,,opera.stanford,,"Tosi, Giuseppe Felice"
"Toulmouche, Fr√©d√©ric","Toulmouche, Fr√©d√©ric (Michel)",1850,1909,France,,opera.stanford,,"Toulmouche, Fr√©d√©ric (Michel)"
"Tournemire, Charles","Tournemire, Charles (Arnould)",1870,1939,France,,opera.stanford,,"Tournemire, Charles (Arnould)"
"Tovey,","Tovey,",,,United Kingdom,,opera.stanford,,"Tovey,"
"Townsend, Douglas","Townsend, Douglas",1921,,United States,,opera.stanford,,"Townsend, Douglas"
"Toyama, Yuzo","Toyama, Yuzo",1931,,Japan,,opera.stanford,,"Toyama, Yuzo"
"Toye, Geoffrey","Toye, (Edward) Geoffrey",1889,1942,Canada,,opera.stanford,,"Toye, (Edward) Geoffrey"
"Tozzi, Antonio","Tozzi, Antonio",1736,1812,Italy,,opera.stanford,,"Tozzi, Antonio"
"Tozzi, Vincenzo","Tozzi, Vincenzo",1612,1675,Italy,,opera.stanford,,"Tozzi, Vincenzo"
"Traetta, ",Traetta,1727,1779,Italy,Male,operabase,Traetta,"Traetta [Trajetta], Tommaso (Michele Francesco Saverio)"
"Trajetta, Filippo","Trajetta [Traetta], Filippo",1777,1854,Italy,,opera.stanford,,"Trajetta [Traetta], Filippo"
"Trambitsky, Viktor","Trambitsky, Viktor (Nikolayevich)",1895,1970,Belarus,,opera.stanford,,"Trambitsky, Viktor (Nikolayevich)"
"Tranchell, Peter","Tranchell, Peter (Andrew)",1922,,United Kingdom,,opera.stanford,,"Tranchell, Peter (Andrew)"
"Traore, Rokia",Traore,1974,,Mali,Female,operabase,Traore,
"Travenol, Louis-Antoine","Travenol, Louis-Antoine",1698,1783,France,,opera.stanford,,"Travenol, Louis-Antoine"
"Travis, Roy","Travis, Roy (Elihu)",1922,,United States,,opera.stanford,,"Travis, Roy (Elihu)"
"Treacher, Lucie",Treacher Lucie,1995,,United Kingdom,Female,operabase,Treacher,
"Treiber, Johann Philipp","Treiber, Johann Philipp",1675,1727,Germany,,opera.stanford,,"Treiber, Johann Philipp"
"Trento, Vittorio","Trento, Vittorio",1761,1833,Italy,,opera.stanford,,"Trento, Vittorio"
"Treu, Daniel Gottlob","Treu [Trew, Fedele], Daniel Gottlob [Daniele Teofilo]",1695,1749,Germany,,opera.stanford,,"Treu [Trew, Fedele], Daniel Gottlob [Daniele Teofilo]"
"Trial, Armand-Emmanuel","Trial, Armand-Emmanuel",1771,1803,France,,opera.stanford,,"Trial, Armand-Emmanuel"
"Trial, Jean-Claude","Trial, Jean-Claude",1732,1771,France,,opera.stanford,,"Trial, Jean-Claude"
"Tricarico, Giuseppe","Tricarico, Giuseppe",1623,1697,Italy,,opera.stanford,,"Tricarico, Giuseppe"
"Triebensee, Josef","Triebensee [Tr√ºbensee], Josef",1772,1846,Czechia,,opera.stanford,,"Triebensee [Tr√ºbensee], Josef"
"Trimble, Lester","Trimble, Lester (Albert)",1923,,United Kingdom,,opera.stanford,,"Trimble, Lester (Albert)"
"Tritto, Giacomo","Tritto [Tritta], Giacomo (Domenico Mario Antonio Pasquale Giuseppe)",1733,1824,Italy,,opera.stanford,Tritto,"Tritto [Tritta], Giacomo (Domenico Mario Antonio Pasquale Giuseppe)"
"Trnecek, Hanus","Trnecek, Hanus [Johann, Hans]",1858,1914,Czechia,,opera.stanford,,"Trnecek, Hanus [Johann, Hans]"
"Trojahn, ",Trojahn,1949,,Germany,Male,operabase,Trojahn,
"Trojan, V√°clav","Trojan, V√°clav",1907,1983,Czechia,,opera.stanford,,"Trojan, V√°clav"
"Trost, Johann Baptist Matth√§us","Trost, Johann Baptist Matth√§us",,,Germany,,opera.stanford,,"Trost, Johann Baptist Matth√§us"
"Truhn, Friedrich Hieronymus","Truhn, Friedrich Hieronymus",1811,1886,Germany,,opera.stanford,,"Truhn, Friedrich Hieronymus"
"Truman, Ernest Edwin Phillip","Truman, Ernest Edwin Phillip",1870,1948,United Kingdom,,opera.stanford,,"Truman, Ernest Edwin Phillip"
"Trunk, Richard","Trunk, Richard",1879,1968,Germany,,opera.stanford,,"Trunk, Richard"
"Trythall, Gil","Trythall, (Harry) Gil(bert)",1930,,United States,,opera.stanford,,"Trythall, (Harry) Gil(bert)"
"Tsangaris, ",Tsangaris,1956,,Germany,Male,operabase,Tsangaris,
"Tsintsadze, Sulkhan","Tsintsadze, Sulkhan (Fyodorovich)",1925,,Georgia,,opera.stanford,,"Tsintsadze, Sulkhan (Fyodorovich)"
"Tsoupaki, ",Tsoupaki,1963,,Greece,Female,operabase,Tsoupaki,
"Tsukatani, Akihir√¥","Tsukatani, Akihir√¥",1919,,Japan,,opera.stanford,,"Tsukatani, Akihir√¥"
"Tubin, Eduard","Tubin, Eduard",1905,1982,Estonia,,opera.stanford,Tubin,"Tubin, Eduard"
"Tucek, Jan","Tucek [Tuczek, Tutschek], Jan",1743,1783,Czechia,,opera.stanford,,"Tucek [Tuczek, Tutschek], Jan"
"Tucek, Vincenc","Tucek [Tuczek], [(Franz)] Vincenc [Vinzenz (Ferrerius)] (Tom√°s V√°clav)",1773,1820,Czechia,,opera.stanford,,"Tucek [Tuczek], [(Franz)] Vincenc [Vinzenz (Ferrerius)] (Tom√°s V√°clav)"
"Tulebayev, ",Tulebayev,1913,1960,Kazakhstan,Male,operabase,Tulebayev,
"Tulikov, Serafim","Tulikov, Serafim (Sergeyevich)",1914,,Russia,,opera.stanford,,"Tulikov, Serafim (Sergeyevich)"
"Turchi, Guido","Turchi, Guido",1916,,Italy,,opera.stanford,,"Turchi, Guido"
"Turina, Joaqu√≠n","Turina (y Perez), Joaqu√≠n",1882,,Spain,,opera.stanford,,"Turina (y Perez), Joaqu√≠n"
"Turnage, Mark-Anthony","Turnage, Mark-Anthony",1960,,United Kingdom,,opera.stanford,Turnage,"Turnage, Mark-Anthony"
"Turner, Robert","Turner, Robert (Comrie)",1920,,Canada,,opera.stanford,,"Turner, Robert (Comrie)"
"Turner, William","Turner, William",1651,1740,United Kingdom,,opera.stanford,,"Turner, William"
"Turok, Paul","Turok, Paul (Harris)",1929,,United States,,opera.stanford,,"Turok, Paul (Harris)"
"Turski, Zbigniew","Turski, Zbigniew",1908,1979,Poland,,opera.stanford,,"Turski, Zbigniew"
"Tutino, ",Tutino,1954,,Italy,Male,operabase,Tutino,
"Tuukkanen, Kalervo","Tuukkanen, Kalervo",1909,1979,Finland,,opera.stanford,,"Tuukkanen, Kalervo"
"Tuur, ",Tuur,1959,,Estonia,Male,operabase,Tuur,
"Tuzun, ",Tuzun,1929,1977,Turkey,Male,operabase,Tuzun,
"Tveitt, Geirr","Tveitt [Tveit], (Nils) Geirr",1908,1981,Norway,,opera.stanford,,"Tveitt [Tveit], (Nils) Geirr"
"Twardowski, Romuald","Twardowski, Romuald",1930,,Lithuania,,opera.stanford,,"Twardowski, Romuald"
"Tyrrell, Agnes","Tyrrell, Agnes",1846,1883,Czechia,,opera.stanford,,"Tyrrell, Agnes"
"Tzybin, Vladimir","Tzybin, Vladimir",1877,1949,Russia,,opera.stanford,,"Tzybin, Vladimir"
"Uber, Christian Benjamin","Uber, Christian Benjamin",1746,1812,Poland,,opera.stanford,,"Uber, Christian Benjamin"
"Uber, Christian Friedrich Hermann","Uber, Christian Friedrich Hermann",1781,1822,Poland,,opera.stanford,,"Uber, Christian Friedrich Hermann"
"Uccellini, Marco","Uccellini, Marco",1603,1680,Italy,,opera.stanford,,"Uccellini, Marco"
"Udbye, Martin Andreas","Udbye, Martin Andreas",1820,1889,Norway,,opera.stanford,,"Udbye, Martin Andreas"
"Ugarte, Floro M","Ugarte, Floro M(anuel)",1884,1975,Argentina,,opera.stanford,,"Ugarte, Floro M(anuel)"
"Uhde, Johann Otto","Uhde, Johann Otto",1725,1766,Germany,,opera.stanford,,"Uhde, Johann Otto"
"Uhl, Alfred","Uhl, Alfred",1909,1992,Austria,,opera.stanford,,"Uhl, Alfred"
"Ujj, B√©la","Ujj, B√©la",1873,1942,Austria,,opera.stanford,,"Ujj, B√©la"
"Ulbrich, Maximilian","Ulbrich, Maximilian",1741,1814,Austria,,opera.stanford,,"Ulbrich, Maximilian"
"Ullinger, Augustin","Ullinger, Augustin",1746,1781,Germany,,opera.stanford,,"Ullinger, Augustin"
"Ullmann, Viktor","Ullmann, Viktor",1898,1944,Poland,,opera.stanford,Ullmann,"Ullmann, Viktor"
"Umlauf, Ignaz","Umlauf [Umlauff], Ignaz",1746,1796,Austria,,opera.stanford,,"Umlauf [Umlauff], Ignaz"
"Umlauf, Michael","Umlauf [Umlauff], Michael",1781,1842,Austria,,opera.stanford,,"Umlauf [Umlauff], Michael"
"Unander-Scharin, ",Unander-Scharin,1964,,Sweden,Male,operabase,Unander-Scharin,
"Unger, Hermann","Unger, (Gustav) Hermann",1886,1958,Germany,,opera.stanford,,"Unger, (Gustav) Hermann"
"Urbach, Otto","Urbach, Otto",1871,1927,Germany,,opera.stanford,,"Urbach, Otto"
"Urbani, Peter","Urbani, Peter",1749,1816,Italy,,opera.stanford,,"Urbani, Peter"
"Urbanner, Erich","Urbanner, Erich",1936,,Austria,,opera.stanford,,"Urbanner, Erich"
"Uribe Holgu√≠n, Guillermo","Uribe Holgu√≠n, Guillermo",1880,1971,Colombia,,opera.stanford,,"Uribe Holgu√≠n, Guillermo"
"Urich, Jean","Urich, Jean",1849,1939,United Kingdom,,opera.stanford,,"Urich, Jean"
"Urreta, Alicia","Urreta, Alicia",1935,1986,Mexico,,opera.stanford,,"Urreta, Alicia"
"Ursino, Gennaro","Ursino, Gennaro",1650,1714,Italy,,opera.stanford,,"Ursino, Gennaro"
"Urspruch, Anton","Urspruch, Anton",1850,1907,Germany,,opera.stanford,,"Urspruch, Anton"
"Usandizaga, Jos√© Maria","Usandizaga, Jos√© Maria",1887,1915,Spain,,opera.stanford,Usandizaga,"Usandizaga, Jos√© Maria"
"Usiglio, Emilio","Usiglio, Emilio",1841,1910,Italy,,opera.stanford,,"Usiglio, Emilio"
"Uspensky, Viktor Alexandrovich","Uspensky, Viktor Alexandrovich",1879,1949,Russia,,opera.stanford,,"Uspensky, Viktor Alexandrovich"
"Uttini, Francesco Antonio Baldassare","Uttini, Francesco Antonio Baldassare",1723,1795,Italy,,opera.stanford,,"Uttini, Francesco Antonio Baldassare"
"V√©zina, Joseph","V√©zina, Joseph",1849,1924,Canada,,opera.stanford,,"V√©zina, Joseph"
"Vaage, ",Vaage,1961,,Norway,Male,operabase,Vaage,
"Vaccai, Nicola","Vaccai, Nicola",1790,1848,Italy,,opera.stanford,,"Vaccai, Nicola"
"Vacchi, ",Vacchi,1949,,Italy,Male,operabase,Vacchi,
"Vacek, Milos","Vacek, Milos",1928,,Czechia,,opera.stanford,Vacek,"Vacek, Milos"
"Vachon, Pierre","Vachon [Vasson, Waschon], Pierre",1731,1803,France,,opera.stanford,,"Vachon [Vasson, Waschon], Pierre"
"Vad√©, Jean-Joseph","Vad√©, Jean-Joseph",1719,1757,France,,opera.stanford,,"Vad√©, Jean-Joseph"
"Vagner, Genrikh Matusovich","Vagner [Wagner], Genrikh Matusovich [Heinrich Matusowitsch]",1922,,Poland,,opera.stanford,,"Vagner [Wagner], Genrikh Matusovich [Heinrich Matusowitsch]"
"Vajda, Janos","Vajda, Janos",1949,,Hungary,,opera.stanford,Vajda,"Vajda, Janos"
"Vakhnyanyn, Anatol","Vakhnyanyn, Anatol'",1841,1908,Ukraine,,opera.stanford,,"Vakhnyanyn, Anatol'"
"Valek, Jiri","Valek, Jiri",1923,,Czechia,,opera.stanford,,"Valek, Jiri"
"Valente, Nicola","Valente, Nicola",1881,1946,Italy,,opera.stanford,,"Valente, Nicola"
"Valente, Vincenzo","Valente, Vincenzo",1855,1921,Italy,,opera.stanford,,"Valente, Vincenzo"
"Valentini, Giovanni","Valentini, Giovanni",1730,,Italy,,opera.stanford,,"Valentini, Giovanni"
"Valentini, Giuseppe","Valentini, Giuseppe",1680,1759,Italy,,opera.stanford,,"Valentini, Giuseppe"
"Valentini, Michelangelo","Valentini [Valentino], Michelangelo [Michele Angelo]",1720,1768,Italy,,opera.stanford,,"Valentini [Valentino], Michelangelo [Michele Angelo]"
"Valentini, Pier Francesco","Valentini [Valentino], Pier [Pietro] Francesco [Pierfrancesco]",1570,1654,Italy,,opera.stanford,,"Valentini [Valentino], Pier [Pietro] Francesco [Pierfrancesco]"
"Valeri, Gaetano","Valeri, Gaetano",1760,1822,Italy,,opera.stanford,,"Valeri, Gaetano"
"Valle-Riestra, Jos√© Maria","Valle-Riestra, Jos√© Maria",1859,1925,Peru,,opera.stanford,,"Valle-Riestra, Jos√© Maria"
"Valledor y la Calle, Jacinto","Valledor y la Calle, Jacinto",1744,1809,Spain,,opera.stanford,,"Valledor y la Calle, Jacinto"
"Vallerand, Jean","Vallerand, Jean",1915,,Canada,,opera.stanford,,"Vallerand, Jean"
"Valli, Natalia",Valli Natalia,,,Italy,Female,operabase,Valli,
"Valls, Manuel","Valls (Gorina), Manuel",1920,,Spain,,opera.stanford,,"Valls (Gorina), Manuel"
"Valtinoni, ",Valtinoni,1959,,Italy,Male,operabase,Valtinoni,
"Valverde Sanju√°n, Quinto","Valverde Sanju√°n, Quinto [Joaquin]",1875,1918,Spain,,opera.stanford,,"Valverde Sanju√°n, Quinto [Joaquin]"
"Valverde, Joaquin","Valverde, Joaquin",1846,1910,Spain,,opera.stanford,Valverde,"Valverde, Joaquin"
"Van de Woestijne, David","Van de Woestijne, David",1915,1979,United Kingdom,,opera.stanford,,"Van de Woestijne, David"
"Van der Linden, Cornelis","Van der Linden, Cornelis",1839,1918,Netherlands,,opera.stanford,,"Van der Linden, Cornelis"
"Van Durme, Jef","Van [van] Durme, Jef [Josef]",1907,1965,Belgium,,opera.stanford,,"Van [van] Durme, Jef [Josef]"
"Van Parys, Annelies",Van Parys,1975,,Belgium,Female,operabase,Van Parys,
"van, der Aa",van der Aa,1970,,Netherlands,Male,operabase,van der Aa,
"Vancura, Arnost","Vancura [Wanczura, Wanzura, Wanskura], Arnost [Ernest]",1750,1801,Czechia,,opera.stanford,,"Vancura [Wanczura, Wanzura, Wanskura], Arnost [Ernest]"
"Vandenbroek, Othon Joseph","Vandenbroek, Othon Joseph",1758,1832,Belgium,,opera.stanford,,"Vandenbroek, Othon Joseph"
"Vandervelde, Janika","Vandervelde, Janika",1955,,United States,,opera.stanford,,"Vandervelde, Janika"
"Vanhal, Johann Baptist","Vanhal [van Hal, Vanhall, Wanhal], Johann Baptist [Jan Krtitel; Jan Ignatius]",1739,1813,Italy,,opera.stanford,,"Vanhal [van Hal, Vanhall, Wanhal], Johann Baptist [Jan Krtitel; Jan Ignatius]"
"Vannarelli, Francesco Antonio","Vannarelli [Vanarelli], Francesco Antonio",1615,1676,Italy,,opera.stanford,,"Vannarelli [Vanarelli], Francesco Antonio"
"Vanzo, Vittorio Mario","Vanzo, Vittorio Mario",1862,1945,Italy,,opera.stanford,,"Vanzo, Vittorio Mario"
"Var√®se, Edgard","Var√®se, Edgard [Edgar] (Victor Achille Charles)",1883,1965,France,,opera.stanford,,"Var√®se, Edgard [Edgar] (Victor Achille Charles)"
"Varga, ",Varga,1970,,Hungary,Female,operabase,Varga,
"Varischino, Giovanni","Varischino [Varischini], Giovanni",,,Italy,,opera.stanford,,"Varischino [Varischini], Giovanni"
"Varney, Louis","Varney, Louis",1844,1908,France,,opera.stanford,Varney,"Varney, Louis"
"Varriale, Michele",Varriale Michele,,,Italy,Male,operabase,Varriale,
"Varvoglis, Mario","Varvoglis, Mario",1885,1967,Belgium,,opera.stanford,Varvoglis,"Varvoglis, Mario"
"Vasilenko, Sergey","Vasilenko, Sergey (Nikiforovich)",1872,1956,Russia,,opera.stanford,,"Vasilenko, Sergey (Nikiforovich)"
"Vasiliev-Buglay, Dmitri","Vasiliev-Buglay, Dmitri",1888,1956,Russia,,opera.stanford,,"Vasiliev-Buglay, Dmitri"
"Vassallo, Paolino","Vassallo, Paolino",1856,1923,Malta,,opera.stanford,,"Vassallo, Paolino"
"Vasseur, L√©on","Vasseur, L√©on (F√©lix Augustin Joseph)",1844,1917,France,,opera.stanford,,"Vasseur, L√©on (F√©lix Augustin Joseph)"
"Vaubourgoin, Jean-Fernand","Vaubourgoin, Jean-Fernand",1880,1952,France,,opera.stanford,,"Vaubourgoin, Jean-Fernand"
"Vaucorbeil, Auguste-Emmanuel","Vaucorbeil, Auguste-Emmanuel",1821,1884,France,,opera.stanford,,"Vaucorbeil, Auguste-Emmanuel"
"Vaughan, Williams",Vaughan Williams,1872,1958,United Kingdom,Male,operabase,Vaughan Williams,"Vaughan Williams, Ralph"
"Vaynberg, Moyssey Samuilovich","Vaynberg [Weinberg, Vainberg], Moyssey [Moisei, Moishei, Mieczyslaw] Samuilovich",1919,1996,Poland,,opera.stanford,,"Vaynberg [Weinberg, Vainberg], Moyssey [Moisei, Moishei, Mieczyslaw] Samuilovich"
"Vecchi, Orazio","Vecchi, Orazio [Horatio] (Tiberio)",1550,1605,Italy,,opera.stanford,Vecchi,"Vecchi, Orazio [Horatio] (Tiberio)"
"Veerhoff, Carlos","Veerhoff, Carlos",1926,,Argentina,,opera.stanford,,"Veerhoff, Carlos"
"Veichtner, Franz Adam","Veichtner, Franz Adam",1741,1822,Germany,,opera.stanford,,"Veichtner, Franz Adam"
"Velasquez, Glauco","Velasquez, Glauco",1884,1914,Italy,,opera.stanford,,"Velasquez, Glauco"
"Vella, Luigi","Vella, Luigi",1868,1950,Malta,,opera.stanford,,"Vella, Luigi"
"Vella, Paolo","Vella, Paolo",1873,1948,Malta,,opera.stanford,,"Vella, Paolo"
"Venables, ",Venables,1979,,United Kingdom,Male,operabase,Venables,
"Veneziano, Gaetano","Veneziano [Veneziani], Gaetano",1656,1716,Italy,,opera.stanford,,"Veneziano [Veneziani], Gaetano"
"Veneziano, Giovanni","Veneziano, Giovanni",1683,1742,Italy,,opera.stanford,,"Veneziano, Giovanni"
"Vento, Mattia","Vento, Mattia [Matthias]",1735,1776,Italy,,opera.stanford,,"Vento, Mattia [Matthias]"
"Venturelli, Giuseppe","Venturelli, Giuseppe",1711,1775,Italy,,opera.stanford,,"Venturelli, Giuseppe"
"Venturi del Nibbio, Stefano","Venturi del Nibbio, Stefano",1592,1600,Italy,,opera.stanford,,"Venturi del Nibbio, Stefano"
"Venzano, Luigi","Venzano, Luigi",1814,1878,Italy,,opera.stanford,,"Venzano, Luigi"
"Veprik, Alexander","Veprik, Alexander (Moiseyevich)",1899,1958,Ukraine,,opera.stanford,,"Veprik, Alexander (Moiseyevich)"
"Veracini, Francesco Maria","Veracini, Francesco Maria",1690,1768,Italy,,opera.stanford,Veracini,"Veracini, Francesco Maria"
"Verbytsky, Mykhaylo","Verbytsky, Mykhaylo",1815,1870,Poland,,opera.stanford,,"Verbytsky, Mykhaylo"
"Verdi, Giuseppe","Verdi, Giuseppe (Fortunino Francesco)",1813,1901,Italy,,opera.stanford,Verdi,"Verdi, Giuseppe (Fortunino Francesco)"
"Veremans, Renaat","Veremans, Renaat",1894,1969,Belgium,,opera.stanford,,"Veremans, Renaat"
"Veress, S√°ndor","Veress, S√°ndor",1907,1992,Switzerland,,opera.stanford,,"Veress, S√°ndor"
"Veretti, Antonio","Veretti, Antonio",1900,1978,Italy,,opera.stanford,,"Veretti, Antonio"
"Verheyden, Edward","Verheyden, Edward",1878,1959,Belgium,,opera.stanford,,"Verheyden, Edward"
"Verheyen, Pierre Emmanuel","Verheyen, Pierre Emmanuel",1750,1819,Belgium,,opera.stanford,,"Verheyen, Pierre Emmanuel"
"Verikivsky, Mykhaylo","Verikivsky [Verikovsky], Mykhaylo [Mikhail Ivanovich]",1896,1962,Ukraine,,opera.stanford,,"Verikivsky [Verikovsky], Mykhaylo [Mikhail Ivanovich]"
"Vernier, Jean Aim√©","Vernier, Jean Aim√©",1769,,France,,opera.stanford,,"Vernier, Jean Aim√©"
"Vernizzi, Ottavio","Vernizzi [Vernici, Invernizzi, Invernici], Ottavio",1569,1649,Italy,,opera.stanford,,"Vernizzi [Vernici, Invernizzi, Invernici], Ottavio"
"Verocai, Giovanni","Verocai, Giovanni",1700,1745,Italy,,opera.stanford,,"Verocai, Giovanni"
"Verrall, John","Verrall, John (Weedon)",1908,2001,United States,,opera.stanford,,"Verrall, John (Weedon)"
"Verrieres, ",Verrieres,1968,,Belgium,Male,operabase,Verrieres,
"Verstovsky, Alexey","Verstovsky, Alexey (Nikolayevich)",1799,1862,Russia,,opera.stanford,,"Verstovsky, Alexey (Nikolayevich)"
"Verunelli, ",Verunelli,1979,,Italy,Female,operabase,Verunelli,
"Vesque von P√ºttlingen, Johann","Vesque von P√ºttlingen [Hoyen, J.], Johann",1803,1883,Poland,,opera.stanford,,"Vesque von P√ºttlingen [Hoyen, J.], Johann"
"Vetrano, ",Vetrano,1982,,Italy,Male,operabase,Vetrano,
"Vetter, Michael","Vetter, Michael",1943,,Germany,,opera.stanford,,"Vetter, Michael"
"Veysberg, Yuliya","Veysberg [Rimskaya-Korsakova] [Weissberg], Yuliya (Lazarevna)",1880,1942,Russia,,opera.stanford,,"Veysberg [Rimskaya-Korsakova] [Weissberg], Yuliya (Lazarevna)"
"Vi√±a, Facundo de la","Vi√±a (Manteola), Facundo de la",1876,1952,Spain,,opera.stanford,,"Vi√±a (Manteola), Facundo de la"
"Viardot, ",Viardot,1821,1910,France,Female,operabase,Viardot,Viardot [
"Victory, Gerard","Victory [Loraine, Alan], Gerard",1921,,Ireland,,opera.stanford,,"Victory [Loraine, Alan], Gerard"
"Vidal, Joseph Bernard","Vidal, Joseph Bernard",1859,1924,France,,opera.stanford,,"Vidal, Joseph Bernard"
"Vidal, Paul","Vidal, Paul (Antonin)",1863,1931,France,,opera.stanford,,"Vidal, Paul (Antonin)"
"Vierling, Johann Gottfried","Vierling, Johann Gottfried",1750,1813,Germany,,opera.stanford,,"Vierling, Johann Gottfried"
"Vieru, Anatol","Vieru, Anatol",1926,1998,Romania,,opera.stanford,,"Vieru, Anatol"
"Vietinghoff-Scheel, Richard Baron von","Vietinghoff-Scheel,",1892,1964,Estonia,,opera.stanford,,"Vietinghoff-Scheel,"
"Vigan√≤, Salvatore","Vigan√≤, Salvatore",1769,1821,Italy,,opera.stanford,,"Vigan√≤, Salvatore"
"Vigil, Federico García",Vigil Federico García,1941,,Uruguay,Male,operabase,Vigil,
"Vignati, Giuseppe","Vignati, Giuseppe",,1768,Italy,,opera.stanford,,"Vignati, Giuseppe"
"Vignola, Giuseppe","Vignola, Giuseppe",1662,1712,Italy,,opera.stanford,,"Vignola, Giuseppe"
"Vilar, Jos√© Teodor","Vilar, Jos√© Teodor",1836,1905,Spain,,opera.stanford,,"Vilar, Jos√© Teodor"
"Vilback, Renaud de","Vilback, (Alfonse Charles) Renaud de",1829,1884,France,,opera.stanford,,"Vilback, (Alfonse Charles) Renaud de"
"Vilboa, Konstantin","Vilboa [Villebois], Konstantin",1817,1882,Russia,,opera.stanford,,"Vilboa [Villebois], Konstantin"
