,Work,Theatre,City,country,date
837,Manon,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-08-11 00:00:00
838,Don Pasquale,Empire Church Theatre,Toowoomba,QLD,2004-08-10 00:00:00
839,Recital,Knox Community Arts Centre,Bayswater,VIC,2004-08-08 00:00:00
840,Don Pasquale,Brolga Theatre,Maryborough,QLD,2004-08-07 00:00:00
841,I'm In Love With Vienna,Melbourne Concert Hall,Melbourne,VIC,2004-08-07 00:00:00
842,Recital,Upper Yarra Arts and Entertainment Centre,Warburton,VIC,2004-08-06 00:00:00
843,Don Pasquale,Gold Coast Arts Centre,Surfers Paradise,QLD,2004-08-05 00:00:00
844,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-07-30 00:00:00
845,Recital,Phee Broadway Theatre,Castlemaine,VIC,2004-07-29 00:00:00
846,Recital,CEMA Arts Centre,Portland,VIC,2004-07-24 00:00:00
847,Recital,Westside Performing Arts Centre,Mooroopna,VIC,2004-07-21 00:00:00
848,The Marriage of Figaro in the Outback,Lake Macquarie Performing Arts Centre,Warners Bay,NSW,2004-07-21 00:00:00
849,Something On Saturday State Opera of SA  An Opera About An Opera,The Playhouse,Adelaide,SA,2004-07-17 00:00:00
850,Il Combattimento di Tancredi e Clorinda / Dido and Aeneas,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-07-16 00:00:00
851,Baroque Masterworks,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-07-16 00:00:00
852,Don Pasquale,Conservatorium Theatre,South Bank,QLD,2004-07-10 00:00:00
853,Shakespeare Sung,Beckett Theatre,Southbank,VIC,2004-07-07 00:00:00
854,The Three Divas,Araluen Arts Centre,Alice Springs,NT,2004-07-01 00:00:00
855,The Mikado,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-06-30 00:00:00
856,The Ride of the Valkyries,Tasmania,,TAS,2004-06-27 00:00:00
857,Loyal Heart Opera,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-06-26 00:00:00
858,Einstein on the Beach,The Opera Studio,Netley,SA,2004-06-26 00:00:00
859,Norma,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-06-26 00:00:00
860,Einstien On The Beach,The Opera Studio,Netley,SA,2004-06-23 00:00:00
861,Mr Barbeque,The Playhouse,Adelaide,SA,2004-06-22 00:00:00
862,Rigoletto,Her Majesty's Theatre,Melbourne,VIC,2004-06-05 00:00:00
863,Tenors Under The Stars,The Casino Lawns,Darwin,NT,2004-05-30 00:00:00
864,Berzerk Baroque - Too Hot to Handel,Performance Space,Wollongong,NSW,2004-05-27 00:00:00
865,Carmen,Lyric Theatre,South Brisbane,QLD,2004-05-15 00:00:00
866,Carmen,Comedy Theatre,Melbourne,VIC,2004-05-15 00:00:00
867,Recital,Melbourne Museum Touring Hall,Carlton,VIC,2004-05-05 00:00:00
868,Mozarts Magical Flute,USQ Arts Theatre,Toowoomba,QLD,2004-05-05 00:00:00
869,Pagliacci,Coonamble Bowling Club,Coonamble,NSW,2004-05-02 00:00:00
870,Pagliacci,Glen Prairie Civic Centre,Moree,NSW,2004-05-01 00:00:00
871,Pagliacci,Longreach Civic and Cultural Centre,Longreach,QLD,2004-04-29 00:00:00
872,Pagaliacci,Mount Isa Civic Centre,Mount Isa,QLD,2004-04-27 00:00:00
873,Pagliacci,Mount Isa Civic Centre,Mount Isa,QLD,2004-04-27 00:00:00
874,The Flying Dutchman,State Theatre,Melbourne,VIC,2004-04-23 00:00:00
875,Pagliacci,The World Theatre,Charters Towers,QLD,2004-04-22 00:00:00
876,Pagliacci,Proserpine Cultural Centre,Proserpine,QLD,2004-04-20 00:00:00
877,Pagliacci,Mackay Entertainment Centre,Mackay,QLD,2004-04-17 00:00:00
878,Norma,State Theatre,Melbourne,VIC,2004-04-17 00:00:00
879,I Martiri,Riverside Theatres,Parramatta,NSW,2004-04-17 00:00:00
880,Pagliacci,Ipswich Civic Hall,Ipswich,QLD,2004-04-16 00:00:00
881,Pagliacci,St Mary's High School,Casino,NSW,2004-04-14 00:00:00
