,name,uri,composer
141,Ballymore,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=50,Richard   Wargo
142,Balseros,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=35,Robert Ashley
143,Bandanna,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=502,Daron Hagen
144,Barabbas,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=212,Ketil  Hvoslef
145,Bastianello,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=848,John    Musto
146,Beast,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=296,Lanette Lind
147,Beast and Superbeast,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=165,Jorge Martín
148,Beatrice,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1372,Lee  Hoiby
149,Beatrice Chancy,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1483,James Rolfe
150,Beatrix Cenci,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1158,Alberto   Ginastera
151,Becoming Santa Claus,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1546,Mark  Adamo
152,Bed and Sofa,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=72,Polly Pen
153,Before Breakfast,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=849,Thomas    Pasatieri
154,Before Night Falls,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=182,Jorge  Martín
155,Bel Canto,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=772,Aaron Jay Kernis
156,Bel Canto,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1623,Jimmy Lopez
157,Bel Canto,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1786,Jimmy López
158,Belladonna,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=116,Bernard  Rands
159,Bellini's War,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=346,Steven Paxton
160,Benito Cereno,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=968,Stephen Douglas Burton
161,Beowulf,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1715,Hannah Lash
162,Bertha,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=506,Ned  Rorem
163,Better Gods,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1738,Luna Pearl
164,Better Gods,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1739,Luna Pearl  Woolf
165,Between Two Silences,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=637,James McCarthy
